gene_name	Ensembl_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Acvrl1	ENSMUSG00000000530	16.9188626239825	-1.25207245068216	0.380414019164307	-3.29134150584858	0.000997107860775196	0.00607757864187534
Abhd15	ENSMUSG00000000686	1493.46996512379	0.301039426041788	0.0603759720141001	4.98607999174711	6.1616642089862e-07	8.62075792796064e-06
Loxl3	ENSMUSG00000000693	911.637502563596	0.191332811454667	0.0716415330851611	2.67069677622933	0.00756939905027517	0.033136869315588
Cryba1	ENSMUSG00000000724	5355.98586166145	-0.0945611167942547	0.0336284456167354	-2.81193837716947	0.00492439365724114	0.0233468571604543
Tcf7	ENSMUSG00000000782	14.0958425031852	-1.53800035239897	0.409503948985785	-3.75576439789682	0.000172813209617344	0.00131601724764381
S100a3	ENSMUSG00000001021	16.5027208771741	-1.46733509094658	0.428610953603306	-3.42346614945509	0.000618279517629183	0.00401017691095108
Vps9d1	ENSMUSG00000001062	1952.57647096259	-0.221121051828625	0.0467305757500917	-4.73182810781421	2.22506799844537e-06	2.72317814496616e-05
Sebox	ENSMUSG00000001103	2.11545133482874	-3.35048468103296	1.34271035976119	-2.49531453799824	0.0125845522056069	0.0498176537844985
Col6a1	ENSMUSG00000001119	929.41837321272	-0.239032074677022	0.0527445447124458	-4.53188241514234	5.84603897244204e-06	6.52268987754561e-05
Cnnm3	ENSMUSG00000001138	8389.39864355159	0.573700171118463	0.0432066208710524	13.2780615459523	3.10323876401343e-40	1.47730079211983e-37
Snrnp27	ENSMUSG00000001158	3068.51332798232	-0.295546480894125	0.0496042840995809	-5.95808378769895	2.55212668548617e-09	5.41517531916984e-08
Ocrl	ENSMUSG00000001173	1898.79109172887	-0.173325785121707	0.044467876826103	-3.8977751467541	9.70804919802003e-05	0.000785700267700261
Dpp9	ENSMUSG00000001229	428.161938474253	-0.455226893628478	0.0804486952251281	-5.65859884184037	1.52613813264029e-08	2.81094053279759e-07
Ube2c	ENSMUSG00000001403	2.07715901795541	-2.8862072073281	1.14465885822829	-2.52145622827346	0.0116870214781707	0.0468909415787592
Tbx21	ENSMUSG00000001444	7.93482685561632	-2.06264964040272	0.573020785633402	-3.59960701621446	0.000318698455736346	0.00225150514809779
Tcf25	ENSMUSG00000001472	4735.72795495811	-0.365810102795452	0.061652338171202	-5.93343437810316	2.96662602827727e-09	6.22354563175095e-08
Sgca	ENSMUSG00000001508	6787.04358807171	-0.861018933609901	0.0866472766299001	-9.93705707898477	2.87186180807232e-23	2.92961463344345e-21
Tulp3	ENSMUSG00000001521	809.957723552264	-0.267532644161874	0.054345753828287	-4.92278835633012	8.53197111454088e-07	1.1551003491293e-05
Jup	ENSMUSG00000001552	924.911798454053	-0.177915500116288	0.0554603458286486	-3.20797675272309	0.00133672303107007	0.00782889583433658
Ergic1	ENSMUSG00000001576	7452.08027364704	0.199285972510271	0.0281831974638954	7.07109165897766	1.53719556742873e-12	5.00694261489153e-11
Folh1	ENSMUSG00000001773	397.795602885764	-0.389407777866116	0.08953143290556	-4.3493973594377	1.3651215900939e-05	0.000136556290095277
Kcnh6	ENSMUSG00000001901	2862.30513935256	0.108211117547853	0.0426424248889935	2.53763986990766	0.01116027617841	0.0451616581360856
Ddb2	ENSMUSG00000002109	15.5413344839531	-1.58508789706658	0.406353625137138	-3.90075982841703	9.58912467751845e-05	0.000778450759784904
Snrpd1	ENSMUSG00000002477	1507.45956391804	-0.440997730058955	0.0432721347824333	-10.1912635527744	2.16926176419475e-24	2.48608110580492e-22
Puf60	ENSMUSG00000002524	1074.30793638636	-0.173543969284616	0.0493930935515922	-3.51352702991452	0.000442199420172923	0.00298649488356875
Golga2	ENSMUSG00000002546	4148.74828691267	-0.152195650510475	0.0310924035286573	-4.89494645758726	9.83324970068675e-07	1.31625172273216e-05
Naa20	ENSMUSG00000002728	2398.15929178326	-0.119402786064303	0.0418081118439982	-2.85597174323107	0.00429053316937209	0.0208676797103633
Atg4d	ENSMUSG00000002820	5547.75680272118	-0.0965116342122588	0.0252510510501787	-3.8220838419942	0.000132328679300599	0.00103619327705395
Cd36	ENSMUSG00000002944	5043.52362395009	-0.13444456943676	0.0457300907815529	-2.939958507386	0.00328256201342627	0.0167153171533933
Timm44	ENSMUSG00000002949	1971.52865165933	-0.265044252540371	0.0506681832498645	-5.23097998665819	1.68613765478313e-07	2.59405428500753e-06
Ap2a2	ENSMUSG00000002957	432.802034626504	-0.746094598173122	0.101244082966777	-7.36926619620771	1.7156977434179e-13	6.30765233748452e-12
Tomm40	ENSMUSG00000002984	1584.88166171103	-0.448888108419311	0.0434324329723144	-10.3353203516241	4.87779542297667e-25	5.80520191172979e-23
Stk11	ENSMUSG00000003068	7644.51117052096	-0.116353364535315	0.0290700007661204	-4.00252361434126	6.26704104414934e-05	0.000532999926823988
Mrpl4	ENSMUSG00000003299	12.5443678946507	-1.25543856778779	0.465524422085573	-2.69682643536371	0.00700037470322172	0.0312275244449819
St8sia6	ENSMUSG00000003418	3660.63027428382	-0.0931097769965691	0.0292527811435399	-3.18293759966584	0.0014578902985357	0.00841903305835578
Med29	ENSMUSG00000003444	497.920541824707	0.246087622277298	0.0707661498179745	3.4774764899643	0.000506157436856823	0.00336190827127007
Rnf215	ENSMUSG00000003581	283.798817545911	-0.951199333234435	0.0969039089796916	-9.81590261166637	9.61734057278999e-23	9.39766026707468e-21
Aven	ENSMUSG00000003604	2532.87541598209	-0.528124035433859	0.0452520070547757	-11.6707317488611	1.79869409580136e-31	3.97554221222001e-29
Ppfia3	ENSMUSG00000003863	1360.41446130427	0.135790201864294	0.0462036398339659	2.93895031543533	0.00329325862173061	0.0167605919876783
Efnb3	ENSMUSG00000003934	3653.00720459204	-0.101252008772687	0.0303472111781093	-3.33645184654476	0.000848551270409385	0.00527778991169871
Grm3	ENSMUSG00000003974	1763.3103695201	0.204038656982904	0.0433973108751722	4.70164286376637	2.58076600283793e-06	3.10126224004459e-05
Stat3	ENSMUSG00000004040	1670.90675891347	-0.258383541650187	0.0501062707604293	-5.15671068169458	2.51325672315859e-07	3.7239524598693e-06
Hmox2	ENSMUSG00000004070	5039.14143804158	-0.116596943666105	0.0462632443264701	-2.52029327738678	0.011725709115926	0.0469888874263507
Col5a3	ENSMUSG00000004098	587.847891384323	-0.214422747004838	0.07978564278508	-2.68748536102457	0.00719922578697589	0.0319151924453186
Cacna1e	ENSMUSG00000004110	1893.86934691094	0.212685150027254	0.0431084430413911	4.93372376782528	8.06765170093769e-07	1.09892899104629e-05
Psap	ENSMUSG00000004207	4.97003349159843	-1.91489573349999	0.758821762325904	-2.52351188193463	0.0116189133987178	0.0466742238277787
Ikbkg	ENSMUSG00000004221	117.169503351211	0.890281576709479	0.19790607021792	4.49850565841242	6.84327754705035e-06	7.48246707529663e-05
Cul3	ENSMUSG00000004364	2494.0308671195	-0.209401252692695	0.0389450078963023	-5.3768445303763	7.58025735969072e-08	1.24434180495153e-06
Tmed4	ENSMUSG00000004394	3717.42834475422	0.299478563697995	0.0423038571336234	7.07922596164328	1.44961852151914e-12	4.72998549569848e-11
Coro1c	ENSMUSG00000004530	2428.14151644258	-0.132289210881796	0.0520121315241931	-2.54342990769879	0.0109770078044122	0.0445365224861707
Tax1bp1	ENSMUSG00000004535	47.4640035953874	0.681531976079425	0.240575007437098	2.83292925287603	0.0046123592864369	0.0221274063338469
Tmed11	ENSMUSG00000004821	8443.80240609208	-0.309791827744494	0.0402238754280367	-7.70169021378195	1.34278103043046e-14	5.73105117493609e-13
Slc25a18	ENSMUSG00000004902	244.760828293238	-0.265009155727286	0.101427098143559	-2.61280427595586	0.00898027141844173	0.0378875904753428
Map2k1	ENSMUSG00000004936	4754.70780856298	-0.246274647594303	0.0468668357953188	-5.25477437115355	1.4820605038325e-07	2.3045171954903e-06
Mri1	ENSMUSG00000004996	742.105489756086	0.251688193371998	0.0628014530813294	4.00768104913203	6.13178524954792e-05	0.000522933968503017
Prdx2	ENSMUSG00000005161	1125.31627330331	-0.356297692279064	0.0583649169110357	-6.10465517876364	1.03022854615508e-09	2.324085442031e-08
Shbg	ENSMUSG00000005202	19.8147150359058	-0.901344507831514	0.33260990855992	-2.70991478195586	0.00673004971670597	0.0302469385234479
Ufd1	ENSMUSG00000005262	1334.40813532618	0.357282282877695	0.0766256087235435	4.66270074495237	3.12086411195465e-06	3.66953534531666e-05
Txn2	ENSMUSG00000005354	15306.9071419056	-0.106234700453885	0.0332233322115523	-3.1975931787163	0.0013857963204762	0.00808062012750033
Slc1a6	ENSMUSG00000005357	1195.88645484445	-0.465865915032463	0.0557812264122081	-8.35166139212933	6.73093921271453e-17	3.57047478352166e-15
