gene_name	Ensembl_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Pih1d2	ENSMUSG00000000167	44.8176925940784	-0.736110230444594	0.194517022545781	-3.78429723430167	0.000154143517219681	0.000434473937758293
Nalcn	ENSMUSG00000000197	1520.1585308182	0.458438641294239	0.167110680227279	2.74332341099168	0.00608207511454464	0.0141471935635182
Slfn4	ENSMUSG00000000204	972.218918992494	0.316933306728901	0.0497318488416446	6.37284384375242	1.85554794006265e-10	7.99273112686606e-10
Ins2	ENSMUSG00000000215	33.9582392572048	0.511284273308027	0.21018625554847	2.4325295294588	0.0149937688478886	0.0326441639439719
Scnn1g	ENSMUSG00000000216	268.531656849697	0.422369628043884	0.0858865725174114	4.91776089863476	8.75397435171379e-07	2.98411478531989e-06
Pemt	ENSMUSG00000000301	3521.39388668249	-0.113626334754863	0.0442796336229728	-2.5661082863141	0.0102846715356502	0.0229870123655577
Rnf17	ENSMUSG00000000365	1459.42729104107	-0.341804371843855	0.0679242101070816	-5.03214349206276	4.85026002898554e-07	1.68503244043335e-06
Ccm2	ENSMUSG00000000378	41.6480815242835	-0.596342084484998	0.228321526506485	-2.61185221389127	0.00900531730648961	0.0203528839144997
Acvrl1	ENSMUSG00000000530	16.9188626239825	-1.04261360579941	0.332017840166145	-3.14023368526727	0.00168813116226356	0.00422267361825121
Dynlt1c	ENSMUSG00000000579	1186.18637992296	0.270244453739334	0.0452748656602322	5.96897306703015	2.38751515271127e-09	9.616838025148e-09
C1d	ENSMUSG00000000581	53.5776912717962	-2.46577072801495	0.220263592717556	-11.1946359250428	4.33177998596917e-29	3.85399963990552e-28
Grm6	ENSMUSG00000000617	437.201007027007	1.23654040635576	0.0872434784516112	14.1734422824692	1.33778780388722e-45	1.77402652790496e-44
Myo18a	ENSMUSG00000000631	472.289602659486	0.183245283260698	0.0583704509776426	3.13935013678214	0.0016932299789062	0.00423493736301166
Abhd15	ENSMUSG00000000686	1493.46996512379	-0.566234534829496	0.0525281523335711	-10.779639291969	4.29566920630529e-27	3.58143752198406e-26
Btn1a1	ENSMUSG00000000706	59.6233173013599	-0.656467000450378	0.20451926358593	-3.20980522294204	0.00132824944158584	0.00336572955274337
Cryba1	ENSMUSG00000000724	5355.98586166145	0.282518511872621	0.0293014664945681	9.64178744859048	5.32525040641442e-22	3.71443523666013e-21
Dnmt3l	ENSMUSG00000000730	1510.38379088646	0.146792807576473	0.035861965542625	4.09327278511819	4.25326848537725e-05	0.000126259592993156
Icosl	ENSMUSG00000000732	13290.9812560408	-0.256642619120686	0.0355373908474686	-7.22176313455965	5.13178041742545e-13	2.51147984995978e-12
Il12rb1	ENSMUSG00000000791	839.966188425718	-0.375272532528125	0.110950638979274	-3.38233773127008	0.000718717247870003	0.00188625075792587
Kcnn3	ENSMUSG00000000794	29.6907603894049	0.585164135906354	0.245529433834125	2.38327489608304	0.017159375313796	0.0369494443310029
Car4	ENSMUSG00000000805	4.12053709932621	-1.75663636570759	0.682644674332425	-2.57328070042508	0.0100739466683174	0.0225440169821809
Nsun5	ENSMUSG00000000916	3447.70533815046	0.144891789603537	0.0300441114673685	4.8226352029384	1.41673935261414e-06	4.74928670005751e-06
Icam4	ENSMUSG00000001014	5909.38336278306	0.398029659993233	0.0509356212327709	7.81436743795223	5.52397351205832e-15	2.9478477225169e-14
Snapin	ENSMUSG00000001018	102.97408490766	0.401822544420625	0.143119062969199	2.80761022385329	0.00499105961627084	0.0117601297808336
Sec24b	ENSMUSG00000001052	7.5878721692999	-2.09373235816704	0.556731399826973	-3.76075852523812	0.000169398898844403	0.000475487917468398
Vps9d1	ENSMUSG00000001062	1952.57647096259	0.359017057370422	0.0402531007720737	8.91899134437605	4.70554142079847e-19	2.94891516600199e-18
Col6a1	ENSMUSG00000001119	929.41837321272	0.743012350781134	0.0454538573841606	16.3465191634111	4.60547981406119e-60	8.18827777311521e-59
Uxt	ENSMUSG00000001134	16086.7305023498	-0.145459339197113	0.024764022469165	-5.87381712232865	4.25873169504687e-09	1.69205668707748e-08
Cnnm3	ENSMUSG00000001138	8389.39864355159	0.113417972755521	0.0372736298807226	3.04284753372462	0.00234351036761487	0.00575605582276481
Pcnt	ENSMUSG00000001151	822.526870117214	-0.445507173837681	0.0512180396408301	-8.69824727697173	3.37049454150502e-18	2.03776722881588e-17
Mxd1	ENSMUSG00000001156	1273.78153829742	-0.278005445619747	0.063429695718761	-4.38289104920804	1.17114689827743e-05	3.65541327793513e-05
Snrnp27	ENSMUSG00000001158	3068.51332798232	0.214581756051362	0.043080217807838	4.98098122457313	6.32626782165108e-07	2.17715528888492e-06
Ocrl	ENSMUSG00000001173	1898.79109172887	-0.359642954522091	0.0387403155376859	-9.28342863320864	1.64110763183851e-20	1.08380333423955e-19
Calm1	ENSMUSG00000001175	240.601325586638	-0.514239385430653	0.0849295963512081	-6.05489025644401	1.40513425589894e-09	5.74336995192598e-09
Dpp9	ENSMUSG00000001229	428.161938474253	-0.708320631606791	0.0700562368469432	-10.1107433611415	4.95071964207666e-24	3.70053445356886e-23
Tcf25	ENSMUSG00000001472	4735.72795495811	-0.862321520713376	0.0535694428780992	-16.0972650523106	2.66632449463326e-58	4.57489608682031e-57
Sgca	ENSMUSG00000001508	6787.04358807171	1.41600026357507	0.0749031059800223	18.9044265260874	1.04873523276648e-79	2.56856899072805e-78
Nrip2	ENSMUSG00000001520	6.86646359906444	-1.31223718647786	0.532498287486158	-2.46430311104422	0.0137279962704362	0.0300397260366656
Tulp3	ENSMUSG00000001521	809.957723552264	-0.11095239044212	0.0461429236658797	-2.40453750277128	0.0161929446390142	0.0350747007010914
Ell2	ENSMUSG00000001542	22.7822407151593	-1.10007858563012	0.284809952222742	-3.86250050970755	0.000112232331062725	0.000320575937505872
Jup	ENSMUSG00000001552	924.911798454053	-0.304882692960071	0.0477287666458572	-6.38781838261758	1.68269013090603e-10	7.26553512049411e-10
Mnx1	ENSMUSG00000001566	194.618231522642	-0.554779269450328	0.106073749724673	-5.23012782041104	1.69392877289722e-07	6.07441058302221e-07
Ergic1	ENSMUSG00000001576	7452.08027364704	-0.721733521613625	0.0247696237684165	-29.1378475652868	1.19094040836804e-186	1.06308655791597e-184
Folh1	ENSMUSG00000001773	397.795602885764	0.537463542442044	0.0774109434752598	6.94299175689306	3.838818296292e-12	1.80195899253585e-11
Capns1	ENSMUSG00000001794	570.887826306972	-0.632637910494012	0.0599782071725741	-10.5477962799677	5.20024738929665e-26	4.16366731295724e-25
Dsg4	ENSMUSG00000001804	3216.8997671455	0.343262466203023	0.0439151142817397	7.81649944027937	5.43125593208023e-15	2.89938516901036e-14
Sep 07	ENSMUSG00000001833	7.73473237817666	1.97167849199349	0.554687915902631	3.554572644304	0.000378593908371635	0.00102332152260311
