gene_name	Ensembl_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Dynlt1c	ENSMUSG00000000579	1186.18637992296	0.176432568518854	0.0530235764168888	3.32743621689497	0.000876490515146472	0.00427456722594912
Sema4f	ENSMUSG00000000627	2818.8975634332	0.161373743889533	0.0667416056760154	2.41788824609483	0.015610870411763	0.0476062298149228
Abhd15	ENSMUSG00000000686	1493.46996512379	-0.171717398330024	0.0603560800074987	-2.84507208401688	0.0044401373681282	0.0167639336765821
Vps9d1	ENSMUSG00000001062	1952.57647096259	0.155299222472467	0.0467333643227311	3.32309100196602	0.000890258666138081	0.00433554389132752
Col6a1	ENSMUSG00000001119	929.41837321272	0.137239529058525	0.05273495356783	2.60243955428919	0.00925631306634407	0.0310422365749949
Uxt	ENSMUSG00000001134	16086.7305023498	-0.0885716117045313	0.0285581061124072	-3.10145257377733	0.00192573717429874	0.00832524967477421
Mxd1	ENSMUSG00000001156	1273.78153829742	0.186417822406643	0.0731669229452192	2.54784286263092	0.0108391282392202	0.035312169446642
Snrnp27	ENSMUSG00000001158	3068.51332798232	0.279070780281768	0.0496069625945936	5.62563732358374	1.8482430335404e-08	2.55676728020236e-07
Calm1	ENSMUSG00000001175	240.601325586638	0.314703421235054	0.0984462144928906	3.19670413795119	0.00139007426340005	0.00631847747909524
Tulp3	ENSMUSG00000001521	809.957723552264	-0.16661954578688	0.0542641951028649	-3.07052459676276	0.002136830849929	0.00906511927995298
Ergic1	ENSMUSG00000001576	7452.08027364704	-0.384198159570449	0.0281426261475323	-13.6518233073333	1.96889838607733e-42	2.06042961639192e-40
Dsg4	ENSMUSG00000001804	3216.8997671455	0.156566152679363	0.0505418624999519	3.0977519413637	0.00194994571489167	0.00840622824070753
Golga2	ENSMUSG00000002546	4148.74828691267	0.12354619540351	0.0310848665984996	3.97448047628017	7.05330474461473e-05	0.000477264337334271
Flii	ENSMUSG00000002812	14599.0461756631	0.0684372170547627	0.0219889170685862	3.11235050099549	0.00185603993067233	0.00806991798591405
Atg4d	ENSMUSG00000002820	5547.75680272118	0.205705564530692	0.0252541449977466	8.1454178927478	3.779742488165e-16	1.23079548147872e-14
Timm44	ENSMUSG00000002949	1971.52865165933	0.16398381886777	0.050685126712564	3.23534396584869	0.00121496270768733	0.00563461561559053
Ap2a2	ENSMUSG00000002957	432.802034626504	1.95934775420247	0.101803594193736	19.246351464505	1.51461423362961e-82	4.41783968698475e-80
Med25	ENSMUSG00000002968	4946.09401356241	0.142984013469357	0.0305192228281533	4.68504765912509	2.79894796129518e-06	2.62454019161392e-05
Tomm40	ENSMUSG00000002984	1584.88166171103	0.561617636415847	0.043408399520451	12.9379945499085	2.74707053905878e-38	2.51063933466378e-36
Hmgn2	ENSMUSG00000003038	20.9412823757529	-0.797233289228722	0.320444018226582	-2.4879019232152	0.0128499164294321	0.0406459400856216
Stk11	ENSMUSG00000003068	7644.51117052096	0.117922738302604	0.0290712824661209	4.05633079448865	4.98496456122872e-05	0.00035117615195213
Ccdc94	ENSMUSG00000003208	1550.35410256439	0.12231302818009	0.0447706941006598	2.73198865099318	0.00629533094604427	0.0225157036105716
Ranbp2	ENSMUSG00000003226	426.253901869469	0.224572820669692	0.0835294828874032	2.6885455638749	0.00717640410808458	0.025155751560157
Hck	ENSMUSG00000003283	2229.45497655875	-0.106333185824973	0.0399988242871372	-2.65840778372997	0.00785108331790749	0.0270836691507785
Ddr1	ENSMUSG00000003534	15447.6699479064	0.223424606905713	0.0248755434616605	8.98169751547605	2.66620970545702e-19	1.06562882950759e-17
Rnf215	ENSMUSG00000003581	283.798817545911	0.547868848330943	0.0968984506666038	5.6540516856764	1.56709053061669e-08	2.19369920925608e-07
Aven	ENSMUSG00000003604	2532.87541598209	0.5735837655099	0.0452642186790466	12.6719024927171	8.46364659380618e-37	7.53429423081097e-35
Has1	ENSMUSG00000003665	56.0469112513962	-0.508689876868712	0.20972554730957	-2.42550267906966	0.0152872029152565	0.0468736892787411
Ppfia3	ENSMUSG00000003863	1360.41446130427	-0.149071806902639	0.0461946479616588	-3.22703632304694	0.00125079580994494	0.00578084718363987
Efnb3	ENSMUSG00000003934	3653.00720459204	0.270044191692201	0.0303573605814142	8.89550957396246	5.81518435179794e-19	2.27772463653708e-17
Stat3	ENSMUSG00000004040	1670.90675891347	0.195237247319118	0.0501160259210184	3.8957048914215	9.79135491733015e-05	0.000636159642472413
Hmox2	ENSMUSG00000004070	5039.14143804158	0.122883564437669	0.0462635610620482	2.65616311448353	0.00790353751755388	0.0272312087078294
Angptl2	ENSMUSG00000004105	1491.77632289436	-0.159083353436868	0.0471209831514916	-3.3760618475515	0.000735313878876649	0.00368975767405563
Cacna1e	ENSMUSG00000004110	1893.86934691094	-0.172013056654158	0.0430562571346458	-3.99507686226041	6.46732678491464e-05	0.000442860054417557
Tmed4	ENSMUSG00000004394	3717.42834475422	-0.167317723089157	0.042293665931314	-3.95609411964631	7.61851552055924e-05	0.00051047032879446
Tbccd1	ENSMUSG00000004462	27.4832963277074	-1.12145009704627	0.34446864192674	-3.25559415444491	0.00113155370923161	0.00529978469417702
Slc25a18	ENSMUSG00000004902	244.760828293238	-0.244863516343338	0.101409538626317	-2.41460043759427	0.0157524793042478	0.0479570816748685
Apba3	ENSMUSG00000004931	4463.45592578605	0.17011126555455	0.0609638481180252	2.79036299062383	0.0052648977983848	0.0194545778754871
Map2k1	ENSMUSG00000004936	4754.70780856298	0.203894372725848	0.0468679038166538	4.35040520530807	1.35886190712923e-05	0.000109322992281893
Mri1	ENSMUSG00000004996	742.105489756086	-0.21447439650092	0.0627397809559209	-3.41847537930684	0.000629730148026082	0.00323332232183129
Txn2	ENSMUSG00000005354	15306.9071419056	0.103655329699301	0.0332236773135586	3.11992344258048	0.00180898048975412	0.00789284326353891
Slc1a6	ENSMUSG00000005357	1195.88645484445	0.510472181173884	0.0558062597295235	9.14722082519044	5.84170193691091e-20	2.40492167727062e-18
Mlxipl	ENSMUSG00000005373	2319.060949028	0.350218968596989	0.0690640873572254	5.07092733717779	3.95881913510602e-07	4.39801065827945e-06
Zfp592	ENSMUSG00000005621	1601.69107315932	0.255905083935736	0.0418187815154338	6.11938164294172	9.39391734495549e-10	1.59778179754336e-08
Insrr	ENSMUSG00000005640	842.067326028276	0.167066909312032	0.0616329346044513	2.71067588107293	0.00671462267377746	0.023816497344066
Cabp5	ENSMUSG00000005649	709.742238636777	-0.230617949299314	0.0687240622321951	-3.3557089294305	0.000791618368261477	0.00392772211744357
Snx6	ENSMUSG00000005656	21.9033363061649	-1.9313350883109	0.474762154937876	-4.06800556494152	4.74172492223933e-05	0.000336809880616472
Pan2	ENSMUSG00000005682	16114.9092236367	0.146170274678747	0.0390210857468269	3.74593048556148	0.000179726358091332	0.00108254334054221
Cs	ENSMUSG00000005683	2918.43353668181	0.127998070778621	0.051614558293769	2.47988309906883	0.0131425462998727	0.0414281828523693
Sh2d1a	ENSMUSG00000005696	1881.71439932746	0.202281415732265	0.0468667556297315	4.31609598348089	1.58812945072041e-05	0.000126285769373121
Agrp	ENSMUSG00000005705	1069.88504780587	0.717068093695759	0.0874817607937925	8.19677252937323	2.46927074575601e-16	8.19642437132425e-15
Rfx5	ENSMUSG00000005774	31.1885830801244	0.8797382424708	0.304439477137204	2.88969830963913	0.00385611701762303	0.014975498072123
Slc30a4	ENSMUSG00000005802	3138.29018886429	0.710586506903215	0.0321568648720814	22.0975057652509	3.34015056530595e-108	1.4309413781181e-105
Bloc1s6	ENSMUSG00000005804	3105.54963206244	0.239109869088769	0.0316448125559461	7.55605262840592	4.15485787451592e-14	1.13917893203477e-12
Tnfsf14	ENSMUSG00000005824	3717.20242039783	0.184082218524959	0.0324690955319734	5.66945938927332	1.43248799024263e-08	2.02036809241114e-07
Gata6	ENSMUSG00000005836	847.938391361374	-0.319301827103379	0.0642522772249064	-4.96950210785068	6.71250411339714e-07	7.10044127241986e-06
Pex1	ENSMUSG00000005907	2024.15758740898	-0.170965155626207	0.041421791810485	-4.1274205714812	3.66855083689607e-05	0.000268798307979734
Tpr	ENSMUSG00000006005	2613.57027670599	0.216984302282507	0.0558084209494447	3.88802081461984	0.000101064961582101	0.000652614017112119
Inpp5k	ENSMUSG00000006127	5749.03585367737	0.367178946591734	0.0589673321886171	6.22681971463876	4.75998319935985e-10	8.29156412706787e-09
Elovl1	ENSMUSG00000006390	2730.84964567056	-0.14162703239619	0.0448026567368824	-3.16113022555647	0.00157158218950062	0.00700189152936758
Actn3	ENSMUSG00000006457	31490.932952023	-0.0737382915193535	0.02187849779803	-3.37035440915844	0.000750715638738575	0.00375330440972543
Sfmbt1	ENSMUSG00000006527	414.130521129869	0.711881874490002	0.0943133964208285	7.54804621088576	4.41836167695854e-14	1.20900838781287e-12
Tcf23	ENSMUSG00000006642	2131.74434466362	0.193841697423308	0.0672134472727905	2.88397196228588	0.00392693714622873	0.0151646144613098
Pola1	ENSMUSG00000006678	2186.47720672508	1.44132381331619	0.0587896488441324	24.5166256586688	9.82127387211338e-133	5.85390623968706e-130
Vars	ENSMUSG00000007029	1172.58589780164	0.345923929795413	0.0683747103812345	5.05923795313584	4.20935313678685e-07	4.66122957610751e-06
Neu1	ENSMUSG00000007038	1887.52465362605	0.18948033052915	0.0681185258131176	2.78162699893107	0.00540871640662161	0.019905528380772
2310003L06Rik	ENSMUSG00000007457	1387.24607698284	-0.220784883008686	0.042561881584715	-5.18738539717132	2.13267084438969e-07	2.48612113994373e-06
Arid1a	ENSMUSG00000007880	671.304842091685	0.301491410941663	0.069645442857643	4.32894671310969	1.49824176287862e-05	0.000119778547603666
Ttc9b	ENSMUSG00000007944	41132.6049790853	0.201944057162023	0.0728734614476855	2.77116049039326	0.00558568883168101	0.020403466078741
1700008O03Rik	ENSMUSG00000008028	15.378535520627	1.07154049854259	0.371390645600574	2.88521132999947	0.00391150996060171	0.0151263441607585
1700109H08Rik	ENSMUSG00000008307	2738.00626046622	-0.105756726269314	0.035029565602869	-3.01907044661304	0.00253551566300968	0.0104132367358298
Ubc	ENSMUSG00000008348	1479.23721467526	-0.127306932255647	0.0433174987575376	-2.93892620550938	0.00329351480894866	0.0130493625768431
Acyp1	ENSMUSG00000008822	16890.4258294445	0.144995891667528	0.0199237023138655	7.2775576237465	3.39917827427084e-13	8.64551669053411e-12
Rala	ENSMUSG00000008859	2719.72614204411	-0.167970073280968	0.0435607560068141	-3.85599536552333	0.000115259671160988	0.00073254280572368
Vdac3	ENSMUSG00000008892	5899.40568349213	0.0771196449273614	0.0297192647209637	2.59493785096782	0.00946080244460625	0.0315874672949603
Dynll1	ENSMUSG00000009013	3510.50235941009	-0.127646631701621	0.0352020850767333	-3.62610997113886	0.000287722861203635	0.00164785840691578
Tmem184b	ENSMUSG00000009035	3537.62680629718	0.1185601217174	0.0410513743871636	2.88809140954056	0.0038758721807273	0.0150270651401861
Ap1b1	ENSMUSG00000009090	786.600301034225	-0.283312299845868	0.0598344838186628	-4.73493346586707	2.19126971576651e-06	2.10955874532606e-05
Gnat2	ENSMUSG00000009108	325.225206608352	-0.79439942725513	0.11450025356564	-6.93797089977376	3.97771623850644e-12	8.98360987045878e-11
Ccl8	ENSMUSG00000009185	1283.68174804772	-0.208674282586121	0.0656477489448677	-3.17869669470875	0.00147938805494756	0.00665166639726994
Pttg1ip	ENSMUSG00000009291	42.2524568010457	-1.05149853973538	0.246989918405967	-4.25725287299815	2.06954226285417e-05	0.000159658721899088
Lpo	ENSMUSG00000009356	5363.59956309198	-0.249005817804484	0.0333038731589163	-7.47678255367781	7.61642824231094e-14	2.05134803092025e-12
Met	ENSMUSG00000009376	5761.87205659187	-0.208742096557782	0.0315576023324634	-6.61463739731102	3.72463575982969e-11	7.52003411362374e-10
Syn2	ENSMUSG00000009394	137.781473671901	-0.336894634339185	0.135913629242235	-2.47874062533308	0.0131847145008796	0.041522915481865
Kcnq1	ENSMUSG00000009545	7773.50049093049	0.37120845971148	0.0361174203734002	10.2778231632752	8.87084942194358e-25	4.88395480824998e-23
Cdk9	ENSMUSG00000009555	1034.42142764079	0.251101399553025	0.0559207243032107	4.490310214716	7.11195186681269e-06	6.07084359540069e-05
