query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection	original.query.size
1	TRUE	0.0241	50	1512	17	0.011	0.34	KEGG:00071	keg	41	Fatty acid degradation	1	ENSMUSG00000003809,ENSMUSG00000010651,ENSMUSG00000020777,ENSMUSG00000023832,ENSMUSG00000024132,ENSMUSG00000024900,ENSMUSG00000024981,ENSMUSG00000025745,ENSMUSG00000027984,ENSMUSG00000028138,ENSMUSG00000028607,ENSMUSG00000029098,ENSMUSG00000029455,ENSMUSG00000032281,ENSMUSG00000032883,ENSMUSG00000036138,ENSMUSG00000053644	3569
1	TRUE	0.0057	182	1512	51	0.034	0.28	KEGG:04218	keg	73	Cellular senescence	1	ENSMUSG00000000184,ENSMUSG00000000441,ENSMUSG00000001175,ENSMUSG00000002496,ENSMUSG00000002603,ENSMUSG00000004936,ENSMUSG00000006728,ENSMUSG00000007613,ENSMUSG00000008730,ENSMUSG00000014956,ENSMUSG00000015312,ENSMUSG00000016477,ENSMUSG00000018932,ENSMUSG00000018983,ENSMUSG00000019699,ENSMUSG00000020063,ENSMUSG00000020184,ENSMUSG00000020271,ENSMUSG00000020427,ENSMUSG00000020623,ENSMUSG00000021253,ENSMUSG00000021453,ENSMUSG00000022346,ENSMUSG00000024563,ENSMUSG00000024927,ENSMUSG00000027665,ENSMUSG00000028945,ENSMUSG00000028991,ENSMUSG00000030102,ENSMUSG00000030265,ENSMUSG00000031834,ENSMUSG00000032402,ENSMUSG00000032440,ENSMUSG00000032470,ENSMUSG00000033953,ENSMUSG00000036390,ENSMUSG00000036438,ENSMUSG00000036845,ENSMUSG00000037411,ENSMUSG00000038387,ENSMUSG00000039239,ENSMUSG00000044167,ENSMUSG00000044303,ENSMUSG00000045817,ENSMUSG00000048756,ENSMUSG00000055723,ENSMUSG00000067212,ENSMUSG00000070348,ENSMUSG00000073411,ENSMUSG00000073802,ENSMUSG00000085793	3569
1	TRUE	7.47e-05	116	1512	42	0.028	0.362	KEGG:04668	keg	108	TNF signaling pathway	1	ENSMUSG00000000957,ENSMUSG00000004936,ENSMUSG00000018899,ENSMUSG00000018916,ENSMUSG00000018932,ENSMUSG00000019699,ENSMUSG00000019850,ENSMUSG00000020623,ENSMUSG00000021025,ENSMUSG00000021250,ENSMUSG00000021408,ENSMUSG00000021936,ENSMUSG00000022414,ENSMUSG00000024927,ENSMUSG00000024952,ENSMUSG00000025199,ENSMUSG00000025958,ENSMUSG00000026029,ENSMUSG00000026031,ENSMUSG00000026166,ENSMUSG00000026637,ENSMUSG00000026875,ENSMUSG00000027276,ENSMUSG00000027665,ENSMUSG00000028599,ENSMUSG00000029380,ENSMUSG00000031628,ENSMUSG00000031778,ENSMUSG00000031834,ENSMUSG00000032487,ENSMUSG00000033352,ENSMUSG00000034394,ENSMUSG00000035385,ENSMUSG00000037405,ENSMUSG00000038648,ENSMUSG00000042406,ENSMUSG00000052837,ENSMUSG00000053007,ENSMUSG00000055994,ENSMUSG00000056501,ENSMUSG00000057367,ENSMUSG00000071369	3569
1	TRUE	0.046	30	1512	11	0.007	0.367	KEGG:00630	keg	99	Glyoxylate and dicarboxylate metabolism	1	ENSMUSG00000005683,ENSMUSG00000023832,ENSMUSG00000023921,ENSMUSG00000024827,ENSMUSG00000026473,ENSMUSG00000027187,ENSMUSG00000027605,ENSMUSG00000032607,ENSMUSG00000033429,ENSMUSG00000035637,ENSMUSG00000043445	3569
1	TRUE	0.028	114	1512	32	0.021	0.281	KEGG:04931	keg	98	Insulin resistance	1	ENSMUSG00000002108,ENSMUSG00000003865,ENSMUSG00000004040,ENSMUSG00000014956,ENSMUSG00000019699,ENSMUSG00000021025,ENSMUSG00000021936,ENSMUSG00000022812,ENSMUSG00000023809,ENSMUSG00000024122,ENSMUSG00000024900,ENSMUSG00000024927,ENSMUSG00000025220,ENSMUSG00000025958,ENSMUSG00000027540,ENSMUSG00000027665,ENSMUSG00000028645,ENSMUSG00000028991,ENSMUSG00000029167,ENSMUSG00000029513,ENSMUSG00000029992,ENSMUSG00000031834,ENSMUSG00000032715,ENSMUSG00000033059,ENSMUSG00000034793,ENSMUSG00000038648,ENSMUSG00000038894,ENSMUSG00000040618,ENSMUSG00000043733,ENSMUSG00000044167,ENSMUSG00000053007,ENSMUSG00000055980	3569
1	TRUE	0.0358	161	1512	42	0.028	0.261	KEGG:04934	keg	62	Cushing syndrome	1	ENSMUSG00000000001,ENSMUSG00000000126,ENSMUSG00000000142,ENSMUSG00000004936,ENSMUSG00000006728,ENSMUSG00000016477,ENSMUSG00000018983,ENSMUSG00000019256,ENSMUSG00000020122,ENSMUSG00000020135,ENSMUSG00000020888,ENSMUSG00000021684,ENSMUSG00000022382,ENSMUSG00000022812,ENSMUSG00000022994,ENSMUSG00000023034,ENSMUSG00000024947,ENSMUSG00000024985,ENSMUSG00000025958,ENSMUSG00000026526,ENSMUSG00000028551,ENSMUSG00000030102,ENSMUSG00000032193,ENSMUSG00000034379,ENSMUSG00000036856,ENSMUSG00000036904,ENSMUSG00000037624,ENSMUSG00000038648,ENSMUSG00000041075,ENSMUSG00000042406,ENSMUSG00000044303,ENSMUSG00000045005,ENSMUSG00000049686,ENSMUSG00000049791,ENSMUSG00000050288,ENSMUSG00000051177,ENSMUSG00000052681,ENSMUSG00000053007,ENSMUSG00000057897,ENSMUSG00000070348,ENSMUSG00000073802,ENSMUSG00000081683	3569
1	TRUE	0.0387	95	1512	27	0.018	0.284	KEGG:01522	keg	84	Endocrine resistance	1	ENSMUSG00000000441,ENSMUSG00000004936,ENSMUSG00000006728,ENSMUSG00000016477,ENSMUSG00000018983,ENSMUSG00000019699,ENSMUSG00000020122,ENSMUSG00000020184,ENSMUSG00000021250,ENSMUSG00000021936,ENSMUSG00000022607,ENSMUSG00000022994,ENSMUSG00000024486,ENSMUSG00000026923,ENSMUSG00000027276,ENSMUSG00000027646,ENSMUSG00000027665,ENSMUSG00000028551,ENSMUSG00000028991,ENSMUSG00000030265,ENSMUSG00000031834,ENSMUSG00000042626,ENSMUSG00000044303,ENSMUSG00000057329,ENSMUSG00000059923,ENSMUSG00000062312,ENSMUSG00000070348	3569
1	TRUE	0.000292	120	1512	41	0.027	0.342	KEGG:01200	keg	110	Carbon metabolism	1	ENSMUSG00000000628,ENSMUSG00000004267,ENSMUSG00000005683,ENSMUSG00000011752,ENSMUSG00000017390,ENSMUSG00000020277,ENSMUSG00000020456,ENSMUSG00000021196,ENSMUSG00000021238,ENSMUSG00000021577,ENSMUSG00000021913,ENSMUSG00000021996,ENSMUSG00000022546,ENSMUSG00000023456,ENSMUSG00000023832,ENSMUSG00000023921,ENSMUSG00000024556,ENSMUSG00000024827,ENSMUSG00000025190,ENSMUSG00000025745,ENSMUSG00000026526,ENSMUSG00000027187,ENSMUSG00000027605,ENSMUSG00000028138,ENSMUSG00000028307,ENSMUSG00000030541,ENSMUSG00000030695,ENSMUSG00000031400,ENSMUSG00000032294,ENSMUSG00000032418,ENSMUSG00000032607,ENSMUSG00000033065,ENSMUSG00000033429,ENSMUSG00000036427,ENSMUSG00000037012,ENSMUSG00000041426,ENSMUSG00000043445,ENSMUSG00000059040,ENSMUSG00000061838,ENSMUSG00000062070,ENSMUSG00000063524	3569
1	TRUE	0.0321	102	1512	29	0.019	0.284	KEGG:04070	keg	126	Phosphatidylinositol signaling system	1	ENSMUSG00000001175,ENSMUSG00000016933,ENSMUSG00000018401,ENSMUSG00000018547,ENSMUSG00000021385,ENSMUSG00000024998,ENSMUSG00000025240,ENSMUSG00000025477,ENSMUSG00000026447,ENSMUSG00000026737,ENSMUSG00000026925,ENSMUSG00000027665,ENSMUSG00000028126,ENSMUSG00000028221,ENSMUSG00000029186,ENSMUSG00000030102,ENSMUSG00000030660,ENSMUSG00000031834,ENSMUSG00000032737,ENSMUSG00000033628,ENSMUSG00000034570,ENSMUSG00000036438,ENSMUSG00000037940,ENSMUSG00000038861,ENSMUSG00000040479,ENSMUSG00000041720,ENSMUSG00000050965,ENSMUSG00000051177,ENSMUSG00000070738	3569
1	TRUE	0.00667	33	1512	14	0.009	0.424	KEGG:00052	keg	88	Galactose metabolism	1	ENSMUSG00000000628,ENSMUSG00000020277,ENSMUSG00000021196,ENSMUSG00000025579,ENSMUSG00000025791,ENSMUSG00000028413,ENSMUSG00000028541,ENSMUSG00000028671,ENSMUSG00000033065,ENSMUSG00000034793,ENSMUSG00000035473,ENSMUSG00000036073,ENSMUSG00000037012,ENSMUSG00000045594	3569
