query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection	original.query.size
1	TRUE	0.00792	60	530	11	0.021	0.183	KEGG:04370	keg	96	VEGF signaling pathway	1	ENSMUSG00000001847,ENSMUSG00000016933,ENSMUSG00000023951,ENSMUSG00000027544,ENSMUSG00000027665,ENSMUSG00000029528,ENSMUSG00000031834,ENSMUSG00000032487,ENSMUSG00000035027,ENSMUSG00000041417,ENSMUSG00000061878	1325
1	TRUE	3.81e-05	146	530	26	0.049	0.178	KEGG:05161	keg	72	Hepatitis B	1	ENSMUSG00000002603,ENSMUSG00000004040,ENSMUSG00000007613,ENSMUSG00000016477,ENSMUSG00000018983,ENSMUSG00000021025,ENSMUSG00000021250,ENSMUSG00000021253,ENSMUSG00000021754,ENSMUSG00000022285,ENSMUSG00000022346,ENSMUSG00000026029,ENSMUSG00000027544,ENSMUSG00000027665,ENSMUSG00000027995,ENSMUSG00000031628,ENSMUSG00000031834,ENSMUSG00000032041,ENSMUSG00000033730,ENSMUSG00000035027,ENSMUSG00000039005,ENSMUSG00000040033,ENSMUSG00000041417,ENSMUSG00000052684,ENSMUSG00000053007,ENSMUSG00000057329	1325
1	TRUE	3.23e-05	152	530	27	0.051	0.178	KEGG:05226	keg	62	Gastric cancer	1	ENSMUSG00000000126,ENSMUSG00000000142,ENSMUSG00000002603,ENSMUSG00000007613,ENSMUSG00000015312,ENSMUSG00000016477,ENSMUSG00000018983,ENSMUSG00000020888,ENSMUSG00000021253,ENSMUSG00000021453,ENSMUSG00000022346,ENSMUSG00000027665,ENSMUSG00000031714,ENSMUSG00000031834,ENSMUSG00000032402,ENSMUSG00000034801,ENSMUSG00000035027,ENSMUSG00000036390,ENSMUSG00000036856,ENSMUSG00000041417,ENSMUSG00000044674,ENSMUSG00000045005,ENSMUSG00000047604,ENSMUSG00000050288,ENSMUSG00000057329,ENSMUSG00000057967,ENSMUSG00000073802	1325
1	TRUE	0.0163	117	530	16	0.03	0.137	KEGG:04919	keg	28	Thyroid hormone signaling pathway	1	ENSMUSG00000016933,ENSMUSG00000020184,ENSMUSG00000020689,ENSMUSG00000020918,ENSMUSG00000021109,ENSMUSG00000022346,ENSMUSG00000026923,ENSMUSG00000027087,ENSMUSG00000027665,ENSMUSG00000028645,ENSMUSG00000031834,ENSMUSG00000034297,ENSMUSG00000035027,ENSMUSG00000036856,ENSMUSG00000041417,ENSMUSG00000044167	1325
1	TRUE	0.00128	71	530	14	0.026	0.197	KEGG:05221	keg	39	Acute myeloid leukemia	1	ENSMUSG00000004040,ENSMUSG00000019960,ENSMUSG00000022346,ENSMUSG00000022952,ENSMUSG00000024014,ENSMUSG00000027665,ENSMUSG00000031834,ENSMUSG00000034801,ENSMUSG00000034957,ENSMUSG00000035027,ENSMUSG00000037992,ENSMUSG00000041417,ENSMUSG00000051439,ENSMUSG00000055866	1325
1	TRUE	0.0289	28	530	6	0.011	0.214	KEGG:00512	keg	21	Mucin type O-glycan biosynthesis	1	ENSMUSG00000013846,ENSMUSG00000017929,ENSMUSG00000026994,ENSMUSG00000032226,ENSMUSG00000090035,ENSMUSG00000091387	1325
1	TRUE	3.91e-08	90	530	25	0.047	0.278	KEGG:05210	keg	13	Colorectal cancer	1	ENSMUSG00000000142,ENSMUSG00000001847,ENSMUSG00000002603,ENSMUSG00000007613,ENSMUSG00000008859,ENSMUSG00000015312,ENSMUSG00000021250,ENSMUSG00000021253,ENSMUSG00000021453,ENSMUSG00000022346,ENSMUSG00000024521,ENSMUSG00000027381,ENSMUSG00000027665,ENSMUSG00000029377,ENSMUSG00000029378,ENSMUSG00000029999,ENSMUSG00000031628,ENSMUSG00000031834,ENSMUSG00000032402,ENSMUSG00000034801,ENSMUSG00000035027,ENSMUSG00000036390,ENSMUSG00000041417,ENSMUSG00000052684,ENSMUSG00000057329	1325
1	TRUE	3.23e-05	77	530	18	0.034	0.234	KEGG:05212	keg	32	Pancreatic cancer	1	ENSMUSG00000001847,ENSMUSG00000002603,ENSMUSG00000004040,ENSMUSG00000007613,ENSMUSG00000007659,ENSMUSG00000008859,ENSMUSG00000015312,ENSMUSG00000016477,ENSMUSG00000018983,ENSMUSG00000021253,ENSMUSG00000021453,ENSMUSG00000023951,ENSMUSG00000027665,ENSMUSG00000029999,ENSMUSG00000031834,ENSMUSG00000032402,ENSMUSG00000036390,ENSMUSG00000041417	1325
1	TRUE	0.000871	103	530	18	0.034	0.175	KEGG:04064	keg	83	NF-kappa B signaling pathway	1	ENSMUSG00000007659,ENSMUSG00000015312,ENSMUSG00000016933,ENSMUSG00000019850,ENSMUSG00000021025,ENSMUSG00000022414,ENSMUSG00000025779,ENSMUSG00000026031,ENSMUSG00000026072,ENSMUSG00000027962,ENSMUSG00000028191,ENSMUSG00000032041,ENSMUSG00000032487,ENSMUSG00000039005,ENSMUSG00000051439,ENSMUSG00000057329,ENSMUSG00000057367,ENSMUSG00000061353	1325
1	TRUE	2.17e-06	69	530	19	0.036	0.275	KEGG:05211	keg	92	Renal cell carcinoma	1	ENSMUSG00000001847,ENSMUSG00000002603,ENSMUSG00000021109,ENSMUSG00000021253,ENSMUSG00000022781,ENSMUSG00000023951,ENSMUSG00000027665,ENSMUSG00000028645,ENSMUSG00000029999,ENSMUSG00000031284,ENSMUSG00000031714,ENSMUSG00000031834,ENSMUSG00000034801,ENSMUSG00000035027,ENSMUSG00000035105,ENSMUSG00000041417,ENSMUSG00000052684,ENSMUSG00000058709,ENSMUSG00000074923	1325
