query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection	original.query.size
1	TRUE	0.00699	213	450	23	0.051	0.108	KEGG:04015	keg	7	Rap1 signaling pathway	1	ENSMUSG00000004791,ENSMUSG00000006445,ENSMUSG00000008859,ENSMUSG00000018932,ENSMUSG00000020623,ENSMUSG00000020689,ENSMUSG00000022469,ENSMUSG00000023951,ENSMUSG00000027665,ENSMUSG00000027859,ENSMUSG00000027954,ENSMUSG00000028040,ENSMUSG00000028698,ENSMUSG00000031861,ENSMUSG00000032470,ENSMUSG00000040152,ENSMUSG00000041351,ENSMUSG00000041417,ENSMUSG00000042745,ENSMUSG00000048376,ENSMUSG00000054252,ENSMUSG00000057967,ENSMUSG00000062232	1133
1	TRUE	0.00699	32	450	7	0.016	0.219	KEGG:04215	keg	59	Apoptosis - multiple species	1	ENSMUSG00000007659,ENSMUSG00000024521,ENSMUSG00000026029,ENSMUSG00000027381,ENSMUSG00000030341,ENSMUSG00000031628,ENSMUSG00000057329	1133
1	TRUE	3.38e-07	302	450	43	0.096	0.142	KEGG:04010	keg	60	MAPK signaling pathway	1	ENSMUSG00000004791,ENSMUSG00000006445,ENSMUSG00000015312,ENSMUSG00000018932,ENSMUSG00000019960,ENSMUSG00000020623,ENSMUSG00000021250,ENSMUSG00000021253,ENSMUSG00000021453,ENSMUSG00000021754,ENSMUSG00000022346,ENSMUSG00000022414,ENSMUSG00000023034,ENSMUSG00000023951,ENSMUSG00000024383,ENSMUSG00000025408,ENSMUSG00000026436,ENSMUSG00000027859,ENSMUSG00000027954,ENSMUSG00000028040,ENSMUSG00000028862,ENSMUSG00000029377,ENSMUSG00000029378,ENSMUSG00000029999,ENSMUSG00000030341,ENSMUSG00000031530,ENSMUSG00000031628,ENSMUSG00000032413,ENSMUSG00000032470,ENSMUSG00000034765,ENSMUSG00000034801,ENSMUSG00000036390,ENSMUSG00000037887,ENSMUSG00000039239,ENSMUSG00000039384,ENSMUSG00000041460,ENSMUSG00000051439,ENSMUSG00000052684,ENSMUSG00000053716,ENSMUSG00000054252,ENSMUSG00000057967,ENSMUSG00000059970,ENSMUSG00000062232	1133
1	TRUE	0.0114	235	450	24	0.053	0.102	KEGG:05170	keg	30	Human immunodeficiency virus 1 infection	1	ENSMUSG00000007659,ENSMUSG00000018932,ENSMUSG00000020115,ENSMUSG00000020623,ENSMUSG00000021025,ENSMUSG00000021250,ENSMUSG00000021408,ENSMUSG00000022414,ENSMUSG00000024349,ENSMUSG00000026029,ENSMUSG00000027544,ENSMUSG00000027665,ENSMUSG00000027995,ENSMUSG00000028599,ENSMUSG00000028698,ENSMUSG00000029528,ENSMUSG00000030341,ENSMUSG00000031016,ENSMUSG00000031628,ENSMUSG00000039005,ENSMUSG00000041417,ENSMUSG00000052684,ENSMUSG00000057329,ENSMUSG00000074923	1133
1	TRUE	0.00141	95	450	15	0.033	0.158	KEGG:01522	keg	105	Endocrine resistance	1	ENSMUSG00000016477,ENSMUSG00000018983,ENSMUSG00000020184,ENSMUSG00000021250,ENSMUSG00000024486,ENSMUSG00000026923,ENSMUSG00000027276,ENSMUSG00000027665,ENSMUSG00000028551,ENSMUSG00000028698,ENSMUSG00000034801,ENSMUSG00000041417,ENSMUSG00000042626,ENSMUSG00000052684,ENSMUSG00000057329	1133
1	TRUE	6.97e-07	77	450	19	0.042	0.247	KEGG:05220	keg	20	Chronic myeloid leukemia	1	ENSMUSG00000007659,ENSMUSG00000015312,ENSMUSG00000016477,ENSMUSG00000018983,ENSMUSG00000020184,ENSMUSG00000021025,ENSMUSG00000021253,ENSMUSG00000021453,ENSMUSG00000022346,ENSMUSG00000022952,ENSMUSG00000026842,ENSMUSG00000027665,ENSMUSG00000028698,ENSMUSG00000032402,ENSMUSG00000034801,ENSMUSG00000036390,ENSMUSG00000039239,ENSMUSG00000041417,ENSMUSG00000042626	1133
1	TRUE	0.00454	108	450	15	0.033	0.139	KEGG:04066	keg	28	HIF-1 signaling pathway	1	ENSMUSG00000000628,ENSMUSG00000004040,ENSMUSG00000004267,ENSMUSG00000005413,ENSMUSG00000021109,ENSMUSG00000021367,ENSMUSG00000022965,ENSMUSG00000023951,ENSMUSG00000026773,ENSMUSG00000027665,ENSMUSG00000028645,ENSMUSG00000028698,ENSMUSG00000039005,ENSMUSG00000041417,ENSMUSG00000057329	1133
1	TRUE	1.18e-05	94	450	19	0.042	0.202	KEGG:04657	keg	84	IL-17 signaling pathway	1	ENSMUSG00000002897,ENSMUSG00000003545,ENSMUSG00000018916,ENSMUSG00000020115,ENSMUSG00000021025,ENSMUSG00000021250,ENSMUSG00000024912,ENSMUSG00000026029,ENSMUSG00000026166,ENSMUSG00000029371,ENSMUSG00000029380,ENSMUSG00000031628,ENSMUSG00000032487,ENSMUSG00000035373,ENSMUSG00000035385,ENSMUSG00000042349,ENSMUSG00000050578,ENSMUSG00000052684,ENSMUSG00000056501	1133
1	TRUE	8.94e-06	110	450	21	0.047	0.191	KEGG:05145	keg	11	Toxoplasmosis	1	ENSMUSG00000004040,ENSMUSG00000007659,ENSMUSG00000018932,ENSMUSG00000020623,ENSMUSG00000021025,ENSMUSG00000021253,ENSMUSG00000022414,ENSMUSG00000022965,ENSMUSG00000022969,ENSMUSG00000025779,ENSMUSG00000026029,ENSMUSG00000027111,ENSMUSG00000027995,ENSMUSG00000030341,ENSMUSG00000031628,ENSMUSG00000038037,ENSMUSG00000039005,ENSMUSG00000039239,ENSMUSG00000046879,ENSMUSG00000057329,ENSMUSG00000059970	1133
1	TRUE	0.000198	69	450	14	0.031	0.203	KEGG:05211	keg	5	Renal cell carcinoma	1	ENSMUSG00000000134,ENSMUSG00000021109,ENSMUSG00000021253,ENSMUSG00000023951,ENSMUSG00000027665,ENSMUSG00000028645,ENSMUSG00000028698,ENSMUSG00000029999,ENSMUSG00000031714,ENSMUSG00000034801,ENSMUSG00000039239,ENSMUSG00000041417,ENSMUSG00000052684,ENSMUSG00000074923	1133
