query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection	original.query.size
1	TRUE	0.0195	50	886	13	0.015	0.26	KEGG:00520	keg	70	Amino sugar and nucleotide sugar metabolism	1	ENSMUSG00000000628,ENSMUSG00000020766,ENSMUSG00000021665,ENSMUSG00000025791,ENSMUSG00000026956,ENSMUSG00000028621,ENSMUSG00000028671,ENSMUSG00000029992,ENSMUSG00000036427,ENSMUSG00000036820,ENSMUSG00000037012,ENSMUSG00000057363,ENSMUSG00000070284	1860
1	TRUE	0.0138	176	886	33	0.037	0.188	KEGG:04360	keg	16	Axon guidance	1	ENSMUSG00000000001,ENSMUSG00000000627,ENSMUSG00000001227,ENSMUSG00000001847,ENSMUSG00000006494,ENSMUSG00000006699,ENSMUSG00000007815,ENSMUSG00000008999,ENSMUSG00000009376,ENSMUSG00000020451,ENSMUSG00000022048,ENSMUSG00000022607,ENSMUSG00000022995,ENSMUSG00000025809,ENSMUSG00000026259,ENSMUSG00000026640,ENSMUSG00000027544,ENSMUSG00000028040,ENSMUSG00000028289,ENSMUSG00000028698,ENSMUSG00000029765,ENSMUSG00000031398,ENSMUSG00000033953,ENSMUSG00000036856,ENSMUSG00000038387,ENSMUSG00000038777,ENSMUSG00000043733,ENSMUSG00000050965,ENSMUSG00000053646,ENSMUSG00000056201,ENSMUSG00000057897,ENSMUSG00000061353,ENSMUSG00000074923	1860
1	TRUE	0.0471	213	886	35	0.04	0.164	KEGG:04015	keg	35	Rap1 signaling pathway	1	ENSMUSG00000000001,ENSMUSG00000000303,ENSMUSG00000000489,ENSMUSG00000001175,ENSMUSG00000001847,ENSMUSG00000004451,ENSMUSG00000004936,ENSMUSG00000005320,ENSMUSG00000006699,ENSMUSG00000007815,ENSMUSG00000008859,ENSMUSG00000009376,ENSMUSG00000017776,ENSMUSG00000020122,ENSMUSG00000023951,ENSMUSG00000024070,ENSMUSG00000024998,ENSMUSG00000025809,ENSMUSG00000025856,ENSMUSG00000027859,ENSMUSG00000028019,ENSMUSG00000028040,ENSMUSG00000028698,ENSMUSG00000030849,ENSMUSG00000031861,ENSMUSG00000034101,ENSMUSG00000036438,ENSMUSG00000038387,ENSMUSG00000040152,ENSMUSG00000041351,ENSMUSG00000042745,ENSMUSG00000050965,ENSMUSG00000051177,ENSMUSG00000052681,ENSMUSG00000071042	1860
1	TRUE	6.28e-05	120	886	32	0.036	0.267	KEGG:01200	keg	69	Carbon metabolism	1	ENSMUSG00000000628,ENSMUSG00000011752,ENSMUSG00000017390,ENSMUSG00000020277,ENSMUSG00000020456,ENSMUSG00000020534,ENSMUSG00000021196,ENSMUSG00000021238,ENSMUSG00000021913,ENSMUSG00000023456,ENSMUSG00000023832,ENSMUSG00000023921,ENSMUSG00000024827,ENSMUSG00000026526,ENSMUSG00000027605,ENSMUSG00000028138,ENSMUSG00000028307,ENSMUSG00000028980,ENSMUSG00000029009,ENSMUSG00000030695,ENSMUSG00000031400,ENSMUSG00000032294,ENSMUSG00000032418,ENSMUSG00000036427,ENSMUSG00000037012,ENSMUSG00000041237,ENSMUSG00000041650,ENSMUSG00000057666,ENSMUSG00000059040,ENSMUSG00000061838,ENSMUSG00000062070,ENSMUSG00000063524	1860
1	TRUE	0.00121	77	886	21	0.024	0.273	KEGG:05212	keg	46	Pancreatic cancer	1	ENSMUSG00000001847,ENSMUSG00000002109,ENSMUSG00000004451,ENSMUSG00000004936,ENSMUSG00000006699,ENSMUSG00000006728,ENSMUSG00000007613,ENSMUSG00000008859,ENSMUSG00000020122,ENSMUSG00000021253,ENSMUSG00000021453,ENSMUSG00000021668,ENSMUSG00000023067,ENSMUSG00000023951,ENSMUSG00000028698,ENSMUSG00000031133,ENSMUSG00000032402,ENSMUSG00000032440,ENSMUSG00000036390,ENSMUSG00000039239,ENSMUSG00000062312	1860
1	TRUE	0.0257	116	886	23	0.026	0.198	KEGG:04668	keg	34	TNF signaling pathway	1	ENSMUSG00000000957,ENSMUSG00000004936,ENSMUSG00000018916,ENSMUSG00000019850,ENSMUSG00000021025,ENSMUSG00000021250,ENSMUSG00000021408,ENSMUSG00000022414,ENSMUSG00000026031,ENSMUSG00000026070,ENSMUSG00000027962,ENSMUSG00000028599,ENSMUSG00000028698,ENSMUSG00000032487,ENSMUSG00000033352,ENSMUSG00000034394,ENSMUSG00000037405,ENSMUSG00000042406,ENSMUSG00000052837,ENSMUSG00000053007,ENSMUSG00000056501,ENSMUSG00000057367,ENSMUSG00000071369	1860
1	TRUE	0.000414	69	886	21	0.024	0.304	KEGG:05211	keg	38	Renal cell carcinoma	1	ENSMUSG00000000489,ENSMUSG00000001847,ENSMUSG00000004936,ENSMUSG00000006699,ENSMUSG00000009376,ENSMUSG00000017776,ENSMUSG00000021253,ENSMUSG00000022400,ENSMUSG00000023067,ENSMUSG00000023951,ENSMUSG00000024140,ENSMUSG00000026526,ENSMUSG00000028645,ENSMUSG00000028698,ENSMUSG00000031987,ENSMUSG00000035105,ENSMUSG00000039239,ENSMUSG00000043733,ENSMUSG00000052681,ENSMUSG00000059923,ENSMUSG00000074923	1860
1	TRUE	0.0419	33	886	9	0.01	0.273	KEGG:00052	keg	57	Galactose metabolism	1	ENSMUSG00000000628,ENSMUSG00000001642,ENSMUSG00000020277,ENSMUSG00000020766,ENSMUSG00000021196,ENSMUSG00000025791,ENSMUSG00000028541,ENSMUSG00000028671,ENSMUSG00000037012	1860
1	TRUE	0.0419	96	886	19	0.021	0.198	KEGG:05222	keg	59	Small cell lung cancer	1	ENSMUSG00000002109,ENSMUSG00000006728,ENSMUSG00000021025,ENSMUSG00000021453,ENSMUSG00000021668,ENSMUSG00000022607,ENSMUSG00000023067,ENSMUSG00000025809,ENSMUSG00000026193,ENSMUSG00000026479,ENSMUSG00000026639,ENSMUSG00000027087,ENSMUSG00000028044,ENSMUSG00000028698,ENSMUSG00000032487,ENSMUSG00000036390,ENSMUSG00000052911,ENSMUSG00000057329,ENSMUSG00000057367	1860
1	TRUE	0.0404	217	886	36	0.041	0.166	KEGG:04810	keg	49	Regulation of actin cytoskeleton	1	ENSMUSG00000000489,ENSMUSG00000000555,ENSMUSG00000001847,ENSMUSG00000004936,ENSMUSG00000005320,ENSMUSG00000006699,ENSMUSG00000007815,ENSMUSG00000008475,ENSMUSG00000017776,ENSMUSG00000018547,ENSMUSG00000020122,ENSMUSG00000020451,ENSMUSG00000021676,ENSMUSG00000022607,ENSMUSG00000022995,ENSMUSG00000025265,ENSMUSG00000025348,ENSMUSG00000025809,ENSMUSG00000025856,ENSMUSG00000026193,ENSMUSG00000026879,ENSMUSG00000026971,ENSMUSG00000027087,ENSMUSG00000028019,ENSMUSG00000028698,ENSMUSG00000030849,ENSMUSG00000031133,ENSMUSG00000031207,ENSMUSG00000031861,ENSMUSG00000038387,ENSMUSG00000049775,ENSMUSG00000055723,ENSMUSG00000056201,ENSMUSG00000058230,ENSMUSG00000061353,ENSMUSG00000074923	1860
