	QMCDP007A3_pWPIonly_S1	QMCDP008AB_pWPIonly_S2	QMCDP009AJ_pWPIonly_S3	QMCDP010AM_pWPIHXB_S1	QMCDP011AU_pWPIHXB_S2	QMCDP012A4_pWPIHXB_S3
ENSG00000227232	45	45	58	27	49	54
ENSG00000238009	2	4	0	2	3	2
ENSG00000237683	4	7	2	4	1	5
ENSG00000241860	3	5	1	1	0	1
ENSG00000228463	8	6	6	5	7	16
ENSG00000237094	1	0	4	2	4	5
ENSG00000233653	0	0	0	0	0	1
ENSG00000231709	2	1	0	1	0	1
ENSG00000230021	1	1	1	1	0	0
ENSG00000225972	1	2	0	2	2	2
ENSG00000225630	1827	2535	1234	1518	2035	1684
ENSG00000237973	523	509	586	524	464	692
ENSG00000229344	3	10	6	7	9	7
ENSG00000240409	1	1	0	0	1	0
ENSG00000248527	6582	6746	6821	7412	6524	6758
ENSG00000198744	3	2	7	6	4	4
ENSG00000229376	4	7	0	1	5	11
ENSG00000224956	19	17	10	16	19	35
ENSG00000235373	5	5	0	6	4	7
ENSG00000240618	1	1	0	3	4	1
ENSG00000228327	56	35	8	39	36	38
ENSG00000237491	66	69	41	46	49	62
ENSG00000230092	14	11	12	18	19	23
ENSG00000269831	1	1	2	0	0	1
ENSG00000240453	0	1	0	1	0	0
ENSG00000177757	16	11	22	11	12	12
ENSG00000225880	37	57	57	24	31	42
ENSG00000228794	546	667	532	621	1060	1102
ENSG00000230368	0	9	1	1	2	2
ENSG00000234711	0	7	0	0	0	2
ENSG00000272438	13	34	45	23	43	35
ENSG00000230699	44	168	98	53	208	200
ENSG00000241180	0	4	3	1	2	1
ENSG00000223764	15	124	91	34	194	240
ENSG00000187634	10	9	9	7	26	30
ENSG00000268179	0	0	1	1	1	2
ENSG00000188976	3602	3081	2872	2092	2076	1776
ENSG00000187961	1016	1163	1154	765	1163	1305
ENSG00000187583	3	7	2	5	10	5
ENSG00000187642	12	6	8	4	2	0
ENSG00000272512	148	189	166	58	121	157
ENSG00000188290	1844	2573	5883	765	2375	3333
ENSG00000231702	4	0	0	0	1	1
ENSG00000224969	7	4	7	5	6	3
ENSG00000187608	939	1070	1637	779	1212	1273
ENSG00000188157	906	1154	969	651	1502	1609
ENSG00000217801	45	49	55	63	91	101
ENSG00000273443	0	5	1	7	13	16
ENSG00000237330	0	0	0	0	1	1
ENSG00000131591	607	624	692	441	568	614
ENSG00000223823	0	2	1	0	0	2
ENSG00000272141	0	0	0	0	0	1
ENSG00000205231	0	0	1	0	3	7
ENSG00000162571	0	0	0	0	6	2
ENSG00000186891	1	0	4	0	0	6
ENSG00000186827	169	496	654	25	176	308
ENSG00000078808	2248	2705	3050	1927	3250	3434
ENSG00000176022	1470	1861	2144	857	1433	1364
ENSG00000184163	12	27	27	4	21	14
ENSG00000260179	5	4	7	0	6	1
ENSG00000160087	1801	1889	2176	1450	1896	1932
ENSG00000230415	50	75	66	17	42	55
ENSG00000162572	232	343	343	135	332	302
ENSG00000131584	2136	2189	2271	1448	2379	2553
ENSG00000169972	400	395	426	335	332	284
ENSG00000127054	2859	2742	2880	1891	2448	2480
ENSG00000240731	51	62	59	45	48	61
ENSG00000224051	437	566	542	471	670	711
ENSG00000169962	30	22	13	15	23	33
ENSG00000107404	2023	2563	2707	1556	2213	2129
ENSG00000162576	135	265	257	55	152	209
ENSG00000175756	1831	2247	2794	1373	1930	1687
ENSG00000223663	2	1	1	0	1	0
ENSG00000221978	2932	3642	3312	2014	3081	3508
ENSG00000224870	914	944	1016	618	747	698
ENSG00000242485	2114	2006	2578	1582	1425	1207
ENSG00000272455	206	195	205	137	132	123
ENSG00000235098	1	2	0	0	1	0
ENSG00000225905	0	0	2	0	0	0
ENSG00000205116	4	3	5	4	2	6
ENSG00000225285	0	6	12	0	5	6
ENSG00000179403	13	64	68	12	91	83
ENSG00000215915	4	1	1	2	0	6
ENSG00000160072	551	476	531	408	394	355
ENSG00000197785	1893	1652	1763	1150	996	924
ENSG00000205090	6	10	13	3	8	13
ENSG00000160075	2391	2534	2908	1679	1873	1735
ENSG00000215014	18	12	7	14	15	11
ENSG00000236684	0	0	0	1	0	0
ENSG00000228594	199	382	502	106	284	232
ENSG00000272106	77	67	76	31	40	44
ENSG00000197530	1096	1374	1451	1051	1671	1694
ENSG00000189409	6	3	8	1	5	6
ENSG00000248333	946	922	834	668	816	850
ENSG00000272004	2	3	2	0	0	2
ENSG00000189339	1715	2377	1777	1805	2966	3314
ENSG00000269737	41	39	39	40	57	68
ENSG00000269227	16	8	6	7	12	36
ENSG00000215914	1	3	3	0	8	4
ENSG00000008128	162	163	153	132	170	176
ENSG00000268575	166	165	191	152	174	264
ENSG00000227775	263	330	249	252	462	673
ENSG00000215790	116	148	98	112	178	234
ENSG00000008130	2378	2383	2139	1718	2138	1909
ENSG00000078369	13219	13880	12516	10287	13268	14473
ENSG00000231050	10	17	9	11	13	11
ENSG00000169885	2	4	1	1	3	1
