	QMCDP007A3_pWPIonly_S1	QMCDP008AB_pWPIonly_S2	QMCDP009AJ_pWPIonly_S3	QMCDP010AM_pWPIHXB_S1	QMCDP011AU_pWPIHXB_S2	QMCDP012A4_pWPIHXB_S3
ENSG00000227232	6.26100858439908	6.21251358488481	6.56560113319096	6.01748587041986	6.31234660686116	6.3668233720733
ENSG00000238009	4.70259919932567	4.87236281309326	4.24376224454605	4.75481611102059	4.79719041032611	4.68846154454998
ENSG00000237683	4.88997818597007	5.07055519624893	4.72080105047831	4.96282042532703	4.56458541730026	4.94282156873657
ENSG00000241860	4.80455462399317	4.94520215981227	4.5818442964285	4.60607142818804	4.24376224454605	4.55883198798707
ENSG00000228463	5.15031979824367	5.01068001193945	5.06274578976048	5.04567742735308	5.08247005109998	5.46935945373706
ENSG00000237094	4.56888965423731	4.24376224454605	4.91539311031948	4.75481611102059	4.8815258096803	4.94282156873657
ENSG00000233653	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605	4.55883198798707
ENSG00000231709	4.70259919932567	4.55992160197688	4.24376224454605	4.60607142818804	4.24376224454605	4.55883198798707
ENSG00000230021	4.56888965423731	4.55992160197688	4.5818442964285	4.60607142818804	4.24376224454605	4.24376224454605
ENSG00000225972	4.56888965423731	4.68999342653073	4.24376224454605	4.75481611102059	4.69654955833685	4.68846154454998
ENSG00000225630	10.8162260139673	11.2005402681383	10.3743260357476	10.8618744232074	10.9308253084744	10.6122586931983
ENSG00000237973	9.08370325815255	8.97194042659994	9.34385182442903	9.38099165243341	8.88763950427678	9.37745694133169
ENSG00000229344	4.80455462399317	5.22644071614605	5.06274578976048	5.18792362035609	5.19110416476804	5.06776982971919
ENSG00000240409	4.56888965423731	4.55992160197688	4.24376224454605	4.24376224454605	4.56458541730026	4.24376224454605
ENSG00000248527	12.6433542892103	12.5980952388284	12.8071243748405	13.1261622094764	12.5922797426412	12.5907035952121
ENSG00000198744	4.80455462399317	4.68999342653073	5.12645872160112	5.12003681948495	4.8815258096803	4.87022137981719
ENSG00000229376	4.88997818597007	5.07055519624893	4.24376224454605	4.60607142818804	4.95538747846032	5.26909257621256
ENSG00000224956	5.61209318296362	5.50899300533888	5.29210220126969	5.6414994737772	5.59513252687181	6.00082262409651
ENSG00000235373	4.964781424659	4.94520215981227	4.24376224454605	5.12003681948495	4.8815258096803	5.06776982971919
ENSG00000240618	4.56888965423731	4.55992160197688	4.24376224454605	4.86806796020989	4.8815258096803	4.55883198798707
ENSG00000228327	6.45809849067502	6.00626374204104	5.1853891441862	6.3266587530379	6.05196975443427	6.06622802482717
ENSG00000237491	6.61472980435987	6.60331807868658	6.24831653292919	6.4775944504839	6.31234660686116	6.49431767211007
ENSG00000230092	5.42922075651452	5.27250931827371	5.38741358781587	5.71973620907788	5.59513252687181	5.69572895293535
ENSG00000269831	4.56888965423731	4.55992160197688	4.72080105047831	4.24376224454605	4.24376224454605	4.55883198798707
ENSG00000240453	4.24376224454605	4.55992160197688	4.24376224454605	4.60607142818804	4.24376224454605	4.24376224454605
ENSG00000177757	5.50634605769308	5.27250931827371	5.7620911573968	5.41604807392539	5.33147206465256	5.31274371012505
ENSG00000225880	6.09580488519719	6.42247612791344	6.5489146879989	5.92637503142189	5.93516656595865	6.14835547114599
ENSG00000228794	9.14168390658585	9.33679222951059	9.21263959949898	9.61348573846221	10.0150405755281	10.0185445696334
ENSG00000230368	4.24376224454605	5.17774370384633	4.5818442964285	4.60607142818804	4.69654955833685	4.68846154454998
ENSG00000234711	4.24376224454605	5.07055519624893	4.24376224454605	4.24376224454605	4.24376224454605	4.68846154454998
ENSG00000272438	5.3882598142347	5.98359967556208	6.33023081856368	5.89439090736222	6.19881252263119	6.00082262409651
ENSG00000230699	6.24150202771942	7.56575729780078	7.10548366120687	6.61299541450505	7.85809342769607	7.76603785843484
ENSG00000241180	4.24376224454605	4.87236281309326	4.82670456785555	4.60607142818804	4.69654955833685	4.55883198798707
ENSG00000223764	5.46852983519906	7.21673920873444	7.02507253317134	6.20691876779124	7.77316476881348	7.9898183850372
ENSG00000187634	5.25335544864194	5.17774370384633	5.24039486343599	5.18792362035609	5.80562141490424	5.88324763391318
ENSG00000268179	4.24376224454605	4.24376224454605	4.5818442964285	4.60607142818804	4.56458541730026	4.68846154454998
ENSG00000188976	11.7806487758955	11.4778611298037	11.5696005385896	11.3165742005398	10.9590550809013	10.6872091093254
ENSG00000187961	9.99330777086509	10.1032143206756	10.2804376111366	9.90144157954782	10.1442218551899	10.2543857145367
ENSG00000187583	4.80455462399317	5.07055519624893	4.72080105047831	5.04567742735308	5.24044691442527	4.94282156873657
ENSG00000187642	5.34545722465155	5.01068001193945	5.1853891441862	4.96282042532703	4.69654955833685	4.24376224454605
ENSG00000272512	7.48293635844618	7.70611455135727	7.71200875415223	6.70194429769355	7.22223089557227	7.47819052171419
ENSG00000188290	10.8293114012535	11.2216656138345	12.5949053084738	9.90144157954782	11.1497456020992	11.579964685534
ENSG00000231702	4.88997818597007	4.24376224454605	4.24376224454605	4.24376224454605	4.56458541730026	4.55883198798707
ENSG00000224969	5.0934558374886	4.87236281309326	5.12645872160112	5.04567742735308	5.02177370631719	4.78734308284281
ENSG00000187608	9.88391252322672	9.987211137755	10.771990199676	9.92659737118487	10.2018378012168	10.2196755022175
ENSG00000188157	9.83436215071209	10.0923873986114	10.0365934666237	9.67840503802901	10.5024731591248	10.5481378837914
ENSG00000217801	6.26100858439908	6.28637516652683	6.51489947274066	6.78539274310027	6.91312842646997	6.98506233330119
ENSG00000273443	4.24376224454605	4.94520215981227	4.5818442964285	5.18792362035609	5.37378251166551	5.46935945373706
ENSG00000237330	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605	4.56458541730026	4.55883198798707
ENSG00000131591	9.2850239635018	9.24629491531785	9.57112134689066	9.14709419535872	9.15887390506082	9.215023031236
ENSG00000223823	4.24376224454605	4.68999342653073	4.5818442964285	4.24376224454605	4.24376224454605	4.68846154454998
ENSG00000272141	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605	4.55883198798707
ENSG00000205231	4.24376224454605	4.24376224454605	4.5818442964285	4.24376224454605	4.79719041032611	5.06776982971919
ENSG00000162571	4.24376224454605	4.24376224454605	4.24376224454605	4.24376224454605	5.02177370631719	4.68846154454998
ENSG00000186891	4.56888965423731	4.24376224454605	4.91539311031948	4.24376224454605	4.24376224454605	5.00808685645008
ENSG00000186827	7.63943979372283	8.93736059576442	9.49370557939593	5.95752013326059	7.65593572118149	8.30452964918918
ENSG00000078808	11.1097562654165	11.2927339071825	11.6553103609212	11.1998678532491	11.5958122295658	11.6225113158523
ENSG00000176022	10.5098245812326	10.7629419993126	11.153899691447	10.0592416330374	10.4364163748855	10.3162714295551
ENSG00000184163	5.34545722465155	5.81157001302137	5.91029504030101	4.96282042532703	5.65949733461519	5.39426036314155
ENSG00000260179	4.964781424659	4.87236281309326	5.12645872160112	4.24376224454605	5.02177370631719	4.55883198798707
