gene_name	Ensembl_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Pih1d2	ENSMUSG00000000167	44.8176925940784	-0.874112914013024	0.19891825540098	-4.3943322962037	1.11113742245515e-05	3.28041418612493e-05
Ccnd2	ENSMUSG00000000184	2440.81553996365	0.102412686077889	0.0302437342468999	3.38624474219439	0.000708561603975523	0.00178979744727306
Slfn4	ENSMUSG00000000204	972.218918992494	0.298303188601788	0.049976880423033	5.96882370561705	2.38970146059788e-09	8.94822862746324e-09
Th	ENSMUSG00000000214	6.48957199257489	1.93875043347468	0.558202405081204	3.47320329655807	0.000514285641646443	0.00131766733266884
Scnn1g	ENSMUSG00000000216	268.531656849697	0.51196543272521	0.0899014473523665	5.69474071667139	1.23559547309572e-08	4.44219277264364e-08
Pemt	ENSMUSG00000000301	3521.39388668249	-0.237037969235436	0.0441388568389451	-5.37027884750948	7.8614987569533e-08	2.69134859188122e-07
Cdh1	ENSMUSG00000000303	99.0759863166826	-0.482860739896433	0.15367126398642	-3.14216677451877	0.00167702483203628	0.00405996754697385
Rnf17	ENSMUSG00000000365	1459.42729104107	-0.47125145139489	0.0677136605182951	-6.95947387554932	3.41545843186347e-12	1.48243385664285e-11
Dynlt1c	ENSMUSG00000000579	1186.18637992296	0.223359673065402	0.0467005902753424	4.78280192495414	1.7286845081615e-06	5.43171530840797e-06
C1d	ENSMUSG00000000581	53.5776912717962	-2.30545921018185	0.220319519648698	-10.4641622941895	1.26187733384045e-25	8.69230681301701e-25
Grm6	ENSMUSG00000000617	437.201007027007	1.13729489249112	0.0846524915118087	13.4348661472353	3.77750750788552e-41	3.83466716096537e-40
Myo18a	ENSMUSG00000000631	472.289602659486	0.311981290778338	0.0589726844773564	5.29026774926838	1.22137426833156e-07	4.12638832413173e-07
Sez6	ENSMUSG00000000632	1.36601738082848	3.64925316692205	1.31853460892766	2.76765823377964	0.00564606296368321	0.012707465320013
Abhd15	ENSMUSG00000000686	1493.46996512379	-0.695556553776366	0.0521415462779478	-13.3397761176587	1.35866955280527e-40	1.35753837556426e-39
Btn1a1	ENSMUSG00000000706	59.6233173013599	-1.15957542224797	0.181872487527962	-6.3757605012671	1.82057244044276e-10	7.25608964177945e-10
Cryba1	ENSMUSG00000000724	5355.98586166145	0.332828009587501	0.0289777603112585	11.4856360882449	1.55784621583866e-30	1.2286452703376e-29
Dnmt3l	ENSMUSG00000000730	1510.38379088646	0.113768679767487	0.0349234489551256	3.25765877000501	0.00112335397523099	0.00277714494998167
Icosl	ENSMUSG00000000732	13290.9812560408	-0.191709524380147	0.0355058085246187	-5.39938484282708	6.68697908135902e-08	2.30275979779241e-07
Tcf7	ENSMUSG00000000782	14.0958425031852	1.13102854549775	0.356493563471259	3.17264787191295	0.00151055612654802	0.00367963841291049
Il12rb1	ENSMUSG00000000791	839.966188425718	-0.573145737360456	0.118181886715678	-4.84969188839681	1.23653397243621e-06	3.92125761488064e-06
Kcnn3	ENSMUSG00000000794	29.6907603894049	0.566243988838372	0.242487863564139	2.33514362539879	0.0195359189823563	0.0401825651308984
Dbh	ENSMUSG00000000889	733.464729469584	0.132988370511751	0.0517880939031545	2.56793329293879	0.0102306841482914	0.0221534922786077
Hip1r	ENSMUSG00000000915	22.8456934256835	0.886231348476078	0.247986698498976	3.57370517789985	0.000351965209431204	0.000918587949031396
Nsun5	ENSMUSG00000000916	3447.70533815046	0.192037175718623	0.029749836105443	6.45506667794679	1.08171265224768e-10	4.37014339140721e-10
Icam4	ENSMUSG00000001014	5909.38336278306	0.274440629773491	0.0508407562024767	5.39804381902805	6.7371415263116e-08	2.31929452193439e-07
Ilf2	ENSMUSG00000001016	3293.65896627996	-0.115405820549079	0.0465650139232794	-2.47838045832482	0.013198032884809	0.0280420877719724
Snapin	ENSMUSG00000001018	102.97408490766	0.355312529395975	0.135482486353382	2.62257166191361	0.00872689127348922	0.0191098130045529
S100a3	ENSMUSG00000001021	16.5027208771741	1.03338749686242	0.363522445370897	2.84270616579966	0.00447322895579849	0.0102114225830243
Vps9d1	ENSMUSG00000001062	1952.57647096259	0.424838864752914	0.0407528397426472	10.4247671434864	1.91126917745856e-25	1.31112215850936e-24
Sebox	ENSMUSG00000001103	2.11545133482874	2.90676102201887	1.17843350078162	2.46663135432835	0.0136390693633541	0.0289024108678807
Col6a1	ENSMUSG00000001119	929.41837321272	0.844805096218903	0.0459700248190104	18.3773034612229	1.99649589581852e-75	3.67362047201632e-74
Uxt	ENSMUSG00000001134	16086.7305023498	-0.0933384753869077	0.0247175585503709	-3.77620124563262	0.000159238349650171	0.000429125103436002
Cnnm3	ENSMUSG00000001138	8389.39864355159	-0.54771437912731	0.037583885000248	-14.5731176839142	4.16443480902482e-48	4.86533914248535e-47
Pcnt	ENSMUSG00000001151	822.526870117214	-0.524876005934006	0.0514054984325337	-10.2105031939895	1.7793962447543e-24	1.18820765623439e-23
Mxd1	ENSMUSG00000001156	1273.78153829742	-0.473829948202648	0.0634218865200668	-7.47107937340728	7.95396561387091e-14	3.69667739222976e-13
Snrnp27	ENSMUSG00000001158	3068.51332798232	0.231057458184932	0.0428778510772261	5.38873689749005	7.09545898891354e-08	2.43837265476472e-07
Ocrl	ENSMUSG00000001173	1898.79109172887	-0.241589507071458	0.0384011268742645	-6.29120879349418	3.15003297171439e-10	1.24082808634162e-09
Calm1	ENSMUSG00000001175	240.601325586638	-0.905360634584803	0.0860979024015017	-10.5154784185429	7.33077947970257e-26	5.09030852846464e-25
Dpp9	ENSMUSG00000001229	428.161938474253	-0.428576867638799	0.0696371377349613	-6.15442968477483	7.5348144276373e-10	2.90448003686333e-09
Tcf25	ENSMUSG00000001472	4735.72795495811	-0.527639364093974	0.0532600467199672	-9.90685131892988	3.88703290035496e-23	2.48425102702567e-22
Sgca	ENSMUSG00000001508	6787.04358807171	2.19912726435009	0.075150942749407	29.2628034179577	3.08605192694092e-188	1.79206703563919e-186
Nrip2	ENSMUSG00000001520	6.86646359906444	-1.24553584042525	0.541392412118102	-2.30061562102859	0.021413367285658	0.0437626830751924
Tulp3	ENSMUSG00000001521	809.957723552264	0.323199807865208	0.0481142583232329	6.71733949828224	1.85072436279918e-11	7.73777884344914e-11
Ell2	ENSMUSG00000001542	22.7822407151593	-0.738906789311347	0.258751184983462	-2.85566533486049	0.00429467557905685	0.00982458772199364
Jup	ENSMUSG00000001552	924.911798454053	-0.222820892014219	0.0485186224801867	-4.59248182705952	4.38005662667847e-06	1.33245998098167e-05
Mnx1	ENSMUSG00000001566	194.618231522642	-0.779176785379215	0.103920265628597	-7.49783288818695	6.48815425814073e-14	3.02715136683275e-13
Ergic1	ENSMUSG00000001576	7452.08027364704	-0.536821339142679	0.0240379729556994	-22.3322216116979	1.79765335261868e-110	5.04323476925567e-109
Folh1	ENSMUSG00000001773	397.795602885764	0.819016072324567	0.0777374542595419	10.5356688114602	5.91612292712161e-26	4.11859772709253e-25
Capns1	ENSMUSG00000001794	570.887826306972	-0.590997744940674	0.0578637129266539	-10.2136160133693	1.72320613417603e-24	1.15139804857626e-23
Dsg4	ENSMUSG00000001804	3216.8997671455	0.228989879589595	0.0436674994687348	5.24394303258761	1.57180748279028e-07	5.26503105027689e-07
Sep 07	ENSMUSG00000001833	7.73473237817666	2.1320470035402	0.512369138348468	4.16115422254446	3.16643152480542e-05	9.03106070753192e-05
Kcnh6	ENSMUSG00000001901	2862.30513935256	-0.747847938799106	0.0367413963345659	-20.3543690062628	4.24683281779259e-92	9.64669637538965e-91
Smg9	ENSMUSG00000002210	9224.09853532137	-0.151574595695399	0.0356827121989036	-4.24784402179093	2.15837576393432e-05	6.22582898284274e-05
Mov10	ENSMUSG00000002227	1209.77765215143	-0.245901679937688	0.0665389992625342	-3.69560231838574	0.000219366112873611	0.000582084113781567
Dbf4	ENSMUSG00000002297	3.4801993506715	4.88202424222503	1.15237036854761	4.2365062270545	2.2702462760474e-05	6.53804293496547e-05
Ocel1	ENSMUSG00000002396	1.07231166296397	3.23898210000425	1.34613224117994	2.40613960569368	0.0161221024473486	0.0337209195456646
Snrpd1	ENSMUSG00000002477	1507.45956391804	1.58555104823822	0.0377235010548382	42.0308562011072	0	0
Puf60	ENSMUSG00000002524	1074.30793638636	0.649458510186052	0.0429246915095032	15.130184687344	1.02407599324564e-51	1.28318385186151e-50
Golga2	ENSMUSG00000002546	4148.74828691267	0.0988775292063645	0.026652054362281	3.70994024934526	0.000207308168258136	0.000551579141607617
Uck1	ENSMUSG00000002550	2.83196605169681	2.32344475912002	0.817925201609368	2.84065676732831	0.00450207389924978	0.0102718420333327
Mien1	ENSMUSG00000002580	20.4849896494547	1.38609209866878	0.371690823533823	3.72915340091157	0.000192124171007997	0.000512758381778447
Lcp2	ENSMUSG00000002699	397.00655316152	0.170453172655656	0.0741681804007705	2.29819811858139	0.0215505157409653	0.0440096654411357
Flii	ENSMUSG00000002812	14599.0461756631	0.0587947151929261	0.0190608431638886	3.08458102757566	0.00203839077267187	0.00488770312701274
Atg4d	ENSMUSG00000002820	5547.75680272118	-0.0957151933899763	0.0218102018278365	-4.38855147446708	1.14108128851256e-05	3.36697691496359e-05
Kcnn1	ENSMUSG00000002908	2363.55028264238	-0.183461953829533	0.0358189660055193	-5.12192210688784	3.02436828653729e-07	9.97289020390454e-07
Cd36	ENSMUSG00000002944	5043.52362395009	0.37965597631965	0.0395405590918242	9.60168457502036	7.8648338972545e-22	4.87227249350421e-21
Timm44	ENSMUSG00000002949	1971.52865165933	-0.236890291596676	0.0440885834188311	-5.37305291363696	7.74145992183526e-08	2.65067391395602e-07
Ap2a2	ENSMUSG00000002957	432.802034626504	-0.302912148160084	0.089210434752252	-3.39547889214201	0.000685086561017621	0.00173354104382132
Med25	ENSMUSG00000002968	4946.09401356241	-0.0863914831854361	0.026418124055016	-3.27015964515592	0.00107486803926435	0.0026633745565713
Clptm1	ENSMUSG00000002981	218.691446049069	-0.340751498472525	0.0914399264327942	-3.72650669970703	0.000194151913871738	0.000517978219520476
Relb	ENSMUSG00000002983	1205.45301177927	-0.479910099095441	0.0448248557073126	-10.7063389613355	9.50465518316594e-27	6.76728942869975e-26
