ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005201	extracellular matrix structural constituent	32/1264	139/22744	4.35520796808211e-12	4.08518507406102e-09	2.95695698885575e-09	12833/12822/12842/268977/53867/14114/16776/20692/18295/12824/67776/12836/12825/14268/226519/50706/12814/13601/12819/21923/94242/100952/17304/12826/29817/21825/114249/373864/12945/12835/16779/14115	32
GO:0050839	cell adhesion molecule binding	37/1264	229/22744	4.74650048374306e-09	2.2261087268755e-06	1.6113120063233e-06	11877/16421/15170/22402/14114/18301/330814/109711/16776/21858/14219/16416/14083/14585/18453/64540/12825/14268/227937/16410/50706/11490/19126/100952/19303/17304/11502/54725/15894/21825/114249/67451/23966/23964/16779/56460/20315	37
GO:0005178	integrin binding	25/1264	122/22744	1.20624407876814e-08	3.77152315294839e-06	2.72992080984369e-06	16421/22402/14114/109711/16776/21858/14219/16416/14083/14585/18453/64540/12825/14268/16410/11490/100952/19303/17304/11502/15894/21825/114249/16779/20315	25
GO:0044389	ubiquitin-like protein ligase binding	44/1264	320/22744	2.76820232844678e-08	6.4914344602077e-06	4.69865921538993e-06	16151/12301/11740/18099/68729/56486/109689/22433/19084/22330/12759/14368/14083/80285/12575/21991/15516/72512/15526/226144/18813/15510/19275/50754/68943/19891/19303/58186/17000/15185/67443/17127/228775/14751/16511/56338/20847/230073/18708/268697/213539/56489/14366/13866	44
GO:0002020	protease binding	26/1264	138/22744	3.84229783611697e-08	6.7775872987212e-06	4.90578364681312e-06	12842/13014/240913/21858/21859/22433/16416/15510/12825/16177/14268/16819/16410/13010/13601/14066/68943/21937/18550/11674/16835/18787/16971/216440/20723/20719	26
GO:0031267	small GTPase binding	52/1264	417/22744	4.33534368788136e-08	6.7775872987212e-06	4.90578364681312e-06	110157/56149/109880/12121/23790/268739/12389/18141/11799/117600/216190/217325/218210/73296/110596/22330/223864/24001/98845/54354/18286/404710/100088/213649/74155/57915/83671/70572/18479/74105/76954/18481/192176/17207/212999/73192/20663/71409/231830/30938/226089/269608/228355/56699/104252/104445/52055/102442/57778/93737/58804/233726	52
GO:0019838	growth factor binding	26/1264	147/22744	1.44525781401765e-07	1.93664547078365e-05	1.40179141359606e-05	11479/12833/12842/268977/22402/56213/14219/16416/18414/12824/50766/15526/18186/12825/16177/16410/18550/14183/12826/21813/29817/21825/235505/14600/13866/20661	26
GO:0017016	Ras GTPase binding	49/1264	401/22744	1.97691288709639e-07	2.22744632980222e-05	1.612280196075e-05	110157/109880/12121/23790/268739/12389/18141/11799/117600/216190/217325/218210/73296/110596/22330/223864/24001/98845/54354/18286/404710/100088/213649/57915/83671/70572/18479/76954/18481/192176/17207/212999/73192/20663/71409/231830/30938/226089/269608/228355/56699/104252/104445/52055/102442/57778/93737/58804/233726	49
GO:0003779	actin binding	50/1264	414/22744	2.13720863200639e-07	2.22744632980222e-05	1.612280196075e-05	20198/23790/18301/11565/234686/109711/56431/11749/17912/13822/29856/11421/14026/57748/22330/11752/17909/211401/14083/107589/226251/286940/98845/227753/109624/17921/21953/15185/192176/19684/21345/22003/319713/76499/228545/245857/338367/71409/231830/218952/16796/22351/66898/68810/13138/70549/21961/57778/12332/72333	50
GO:0031625	ubiquitin protein ligase binding	40/1264	304/22744	3.82092564203889e-07	3.58402825223248e-05	2.59420740959483e-05	16151/12301/11740/18099/68729/56486/109689/22433/19084/22330/12759/14368/14083/12575/21991/15516/72512/15526/226144/18813/15510/50754/68943/19891/19303/58186/17000/15185/67443/17127/228775/14751/16511/56338/230073/18708/213539/56489/14366/13866	40
GO:0030020	extracellular matrix structural constituent conferring tensile strength	12/1264	38/22744	5.79038292723103e-07	4.93761744158428e-05	3.57396840963064e-05	12833/12822/12842/53867/12824/12836/12825/12814/12819/12826/373864/12835	12
GO:0003714	transcription corepressor activity	28/1264	185/22744	1.33870279583102e-06	9.691024337235e-05	7.01460071542652e-05	57441/15184/67500/11568/67057/80285/56070/107765/104383/12848/97064/12591/13017/68196/228775/114606/21886/22417/214855/17684/18432/226442/320705/67956/12593/12443/387609/57741	28
GO:0050662	coenzyme binding	37/1264	285/22744	1.43174930313866e-06	9.691024337235e-05	7.01460071542652e-05	26433/59010/192166/18452/18451/50493/107476/13382/11430/20773/23986/13361/20775/76282/14555/17161/14718/108037/15926/11545/20652/107869/12972/20280/100198/13017/108682/15484/52815/216134/76238/214579/210530/14261/11364/11761/67247	37
GO:0043548	phosphatidylinositol 3-kinase binding	12/1264	41/22744	1.4464215428709e-06	9.691024337235e-05	7.01460071542652e-05	12313/26362/17295/14360/22433/14083/69601/11928/19249/384783/18708/16367	12
GO:0051015	actin filament binding	28/1264	193/22744	3.13548668580007e-06	0.000184504360387533	0.00013354877393105	23790/11565/109711/56431/11749/17912/22330/11752/17909/211401/226251/98845/227753/17921/192176/21345/22003/319713/76499/338367/231830/218952/16796/22351/68810/70549/57778/12332	28
GO:0050840	extracellular matrix binding	14/1264	59/22744	3.14719591279375e-06	0.000184504360387533	0.00013354877393105	20692/16416/16410/13601/94242/11502/83436/14766/269855/320078/13138/21825/14115/16852	14
GO:0004674	protein serine/threonine kinase activity	50/1264	458/22744	4.21163626685694e-06	0.000232383224606577	0.000168204668242893	110157/11479/27214/109880/20111/11652/65964/29869/18099/27219/23797/12534/20393/16886/20620/50523/52033/268822/107589/12575/20112/75292/225028/67071/80752/18005/68943/53886/19079/13400/18479/18817/18481/13143/214897/21813/328329/399510/13631/69847/19108/18604/56489/50772/232341/23967/19082/12443/26385/223649	50
GO:0019207	kinase regulator activity	27/1264	190/22744	6.92570958559585e-06	0.000360906421738273	0.000261232905421598	12444/16859/12447/27214/16600/216233/19084/100037258/12575/15516/114715/18767/12428/18710/12442/228775/18708/268697/231659/114716/232341/192231/70355/12702/211323/12443/12449	27
GO:0003688	DNA replication origin binding	7/1264	16/22744	1.18190400127222e-05	0.000583487343785971	0.000422342427047414	17216/17218/23834/18393/70024/26428/18392	7
GO:0017048	Rho GTPase binding	24/1264	165/22744	1.48148569279392e-05	0.000694816789920347	0.000502925406237935	23790/268739/12389/117600/110596/22330/24001/98845/404710/213649/18479/18481/192176/17207/20663/71409/30938/269608/56699/104252/104445/57778/93737/58804	24
GO:0016874	ligase activity	22/1264	148/22744	2.35107048876737e-05	0.00105014481831609	0.000760120533962383	22321/27267/11565/107476/237823/110960/14450/70223/107508/229363/14630/27053/353172/26457/234734/74153/67534/231380/105148/216443/270685/16881	22
GO:0003712	transcription coregulator activity	47/1264	454/22744	3.18752324712495e-05	0.00132745162159338	0.000960841988472373	56700/22259/13710/57441/15184/109711/67500/11568/217166/57748/22337/67057/80285/67488/56070/107765/104383/227737/12848/97064/12591/13017/15161/68196/59035/17127/228775/114606/21886/12606/22417/214855/17684/18432/81000/226442/320705/15361/67956/58172/226169/72462/12593/211323/12443/387609/57741	47
GO:0001968	fibronectin binding	9/1264	31/22744	3.25494534079401e-05	0.00132745162159338	0.000960841988472373	14114/14219/16416/16410/21923/83436/269855/21825/17386	9
GO:0019842	vitamin binding	20/1264	133/22744	4.59361951323033e-05	0.00179533962642085	0.00129951078334805	26433/192166/18452/18451/21452/107476/20773/13361/22337/76282/19662/14718/108037/22171/107869/108682/216134/210530/12309/67247	20
GO:0051219	phosphoprotein binding	17/1264	103/22744	5.07278444690419e-05	0.00190330872447845	0.00137766146031714	12390/15170/12505/109689/70998/50915/50754/18710/18576/18791/214897/234779/18708/230126/12702/24055/16367	17
GO:0019887	protein kinase regulator activity	22/1264	159/22744	7.16195300240031e-05	0.00258381227548134	0.00187022659374421	12444/16859/12447/27214/19084/100037258/12575/15516/114715/18767/12428/12442/228775/268697/231659/114716/232341/192231/70355/211323/12443/12449	22
GO:0004857	enzyme inhibitor activity	40/1264	379/22744	7.91541772620597e-05	0.00274987475080785	0.00199042667968922	57875/20111/13014/66471/21858/11799/109689/21859/19084/20706/100037258/80285/12575/50766/12266/12836/18128/114715/13010/18767/18550/331535/228775/16425/18787/56338/107702/66222/114716/20723/232341/235505/69550/192231/269016/71907/24015/20719/329679/20733	40
GO:0030515	snoRNA binding	8/1264	28/22744	0.000101815223141049	0.00341080997522514	0.00246882777917205	71207/56200/53414/55989/67134/68147/245474/217995	8
GO:0033218	amide binding	39/1264	373/22744	0.000117903525899793	0.00381356921703468	0.00276035478059406	192166/105785/20181/16803/19072/107476/13382/218210/23986/13361/13030/12759/16432/15516/22171/15510/53945/64294/20652/56177/13010/13809/20280/11787/72399/18550/70572/12751/212999/16835/214897/18708/230904/22019/14366/14600/15925/76890/11364	39
GO:0005080	protein kinase C binding	12/1264	62/22744	0.000134135074831603	0.00416372918736855	0.00301380914134521	11652/15184/23797/16416/16410/192176/11502/109042/67451/22628/16367/93737	12
GO:0003730	mRNA 3'-UTR binding	14/1264	81/22744	0.000137607254593204	0.00416372918736855	0.00301380914134521	66409/140486/56878/12972/140488/56449/319765/70354/66870/73158/231207/230738/22695/237400	14
