	groupID	featureID	exonBaseMean	dispersion	stat	pvalue	padj	GFP	Vpr	log2fold_Vpr_GFP	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.QMCDP007A3_pWPIonly_S1	countData.QMCDP008AB_pWPIonly_S2	countData.QMCDP009AJ_pWPIonly_S3	countData.QMCDP010AM_pWPIHXB_S1	countData.QMCDP011AU_pWPIHXB_S2	countData.QMCDP012A4_pWPIHXB_S3	transcripts	gene_name
1	ENSG00000000457	E009	29.0494323217765	0.00442782939110987	15.1205130707924	0.000100861352386844	0.0627873380125422	7.889207871986	10.5220646708534	0.932539196002119	1	169831754	169831938	185	-	17	15	19	27	35	65	c("ENST00000423670", "ENST00000470238", "ENST00000367772", "ENST00000367771", "ENST00000367770")	SCYL3
2	ENSG00000009335	E029	36.9081673609931	0.023566901009894	15.6440181909239	7.64540286332503e-05	0.0531575802257663	12.4487871431939	8.40165466484026	-1.31009940681467	7	157024022	157024509	488	+	84	50	29	19	27	22	ENST00000497368	UBE3C
3	ENSG00000012660	E019	64.456017223002	0.00286762501399329	43.806791707119	3.62445094391679e-11	7.94204188634822e-07	11.1737382683099	15.0203589917202	1.05968828994058	6	53213148	53213587	440	-	46	42	42	71	88	103	ENST00000542638	ELOVL5
4	ENSG00000012660	E024	17.7674276205562	0.0039739859424173	18.7047409865744	1.52602593224574e-05	0.019441215487059	6.00389688649133	8.92037330144184	1.23439856164793	6	53213806	53213947	142	-	12	11	10	20	27	28	ENST00000370918	ELOVL5
5	ENSG00000014164	E004	21.1829728949608	0.0126167401487608	20.1793057691196	7.05116348797387e-06	0.0123100512005049	6.20998068137824	9.66864120470178	1.39324145630363	8	144547887	144548018	132	-	8	10	15	18	32	47	ENST00000262577	ZC3H3
6	ENSG00000015133	E047	215.877315028603	0.00402046184965869	25.6118160227773	4.17475151512458e-07	0.00130684035857165	22.1458056576759	19.2643585986565	-0.630844242955448	14	91845003	91846229	1227	-	198	269	240	149	245	236	c("ENST00000553403", "ENST00000389856")	CCDC88C
7	ENSG00000015153	E001	51.891067011013	0.00410597671877756	15.4602536283599	8.42585756819106e-05	0.0552786710710269	13.0957762212305	11.2910999467602	-0.518470641487206	12	42550906	42552835	1930	-	54	64	77	30	47	49	ENST00000327791	YAF2
8	ENSG00000018189	E004	33.337412188821	0.00301495271849375	14.2652917720983	0.000158765608760984	0.08151861773257	11.297868760911	9.12974396133709	-0.707146858867161	4	71570611	71570947	337	+	31	43	46	15	32	41	c("ENST00000417478", "ENST00000514898")	RUFY3
9	ENSG00000030419	E031	35.6691346009013	0.0175780243149251	17.3656382897394	3.08350557632189e-05	0.0301638426743731	12.6268446810186	8.62972981733287	-1.27479487131716	2	214016850	214017151	302	-	41	31	40	19	45	45	ENST00000452786	IKZF2
10	ENSG00000054277	E008	61.5422992792244	0.0061670545982266	19.8575238887507	8.34336982685345e-06	0.013614351916358	13.5054836199702	11.7857492730881	-0.482306321593781	1	241761048	241761299	252	-	84	81	112	21	33	52	c("ENST00000469376", "ENST00000478849", "ENST00000366554", "ENST00000331838", "ENST00000462265", "ENST00000490673", "ENST00000463155")	OPN3
11	ENSG00000054277	E014	84.3369668971921	0.0268868631746626	13.9407839489559	0.00018866030501696	0.0872151913007097	13.2557032822137	16.6178930952664	0.854898454224053	1	241803184	241803512	329	-	94	96	76	59	91	107	c("ENST00000469376", "ENST00000478849", "ENST00000366554", "ENST00000331838", "ENST00000490673")	OPN3
12	ENSG00000055163	E044	37.4075618756495	0.00266285999423706	39.0945598913175	4.0376750756676e-10	7.37292927733823e-06	12.4944510136638	8.65252841970618	-1.22910609509006	5	156738059	156738671	613	+	50	57	52	17	21	37	ENST00000520942	CYFIP2
13	ENSG00000055163	E092	2836.34417212025	0.00174613801401347	14.9414834408876	0.00011089750998408	0.0653234031659991	38.4150453609314	39.5077179524904	0.213101987309706	5	156820242	156822603	2362	+	2150	2954	2529	2063	3174	4705	c("ENST00000541131", "ENST00000435847", "ENST00000318218", "ENST00000347377", "ENST00000377576", "ENST00000521420")	CYFIP2
14	ENSG00000059122	E028	89.6428151719401	0.00197324741150103	13.72580474442	0.000211528114492978	0.091209014199968	14.0607921381217	15.9556599778102	0.479523680189584	16	2984882	2986332	1451	+	63	79	62	88	136	121	ENST00000570752	FLYWCH1
15	ENSG00000060237	E023	20.1654065489507	0.00645617095467258	14.159918733954	0.000167909535702728	0.0834415146564026	6.65724182246989	9.24724617390748	1.03507715470994	12	977032	977733	702	+	16	19	4	18	35	33	c("ENST00000537687", "ENST00000530271", "ENST00000574564")	WNK1
16	ENSG00000063244	E001	848.883388875355	0.00951306803541358	14.0290942488414	0.000180003830358284	0.0853748037303652	28.6728971992728	31.5450895108256	0.574331596898986	19	56165512	56166430	919	+	809	837	616	799	1057	1095	ENST00000450554	U2AF2
17	ENSG00000066136	E066	39.363255794865	0.00349939862870404	18.0603627222493	2.14010622588238e-05	0.0229876782666789	11.9168195934301	9.13204610832629	-0.889940495920256	1	41237056	41237273	218	+	53	51	69	25	21	23	c("ENST00000496608", "ENST00000372652", "ENST00000414185", "ENST00000447388", "ENST00000308733", "ENST00000456393")	NFYC
18	ENSG00000067646	E001	16.2056336405225	0.0167507875777126	19.8740881261422	8.2713876744812e-06	0.013614351916358	9.06841734182625	5.46740621164318	-1.57066868176605	Y	2803112	2803321	210	+	22	19	29	8	10	12	ENST00000431102	ZFY
19	ENSG00000070444	E022	20.8700909298	0.00833762978315115	13.6671013110435	0.000218244577726554	0.0930401261668354	6.69382169469628	9.32206704467659	1.04439461110914	17	2303934	2304398	465	-	17	16	5	19	32	40	c("ENST00000575394", "ENST00000174618")	MNT
20	ENSG00000071564	E058	44.2750603453281	0.00237370123569709	33.4097386334518	7.46492266813725e-09	5.84194183833181e-05	9.36900691558048	13.1210338611571	1.14656327396097	19	1650287	1650744	458	-	21	33	33	39	66	80	ENST00000588136	TCF3
21	ENSG00000072163	E022	6.07000261239095	0.0107101358540699	17.3802268046998	3.05992788392037e-05	0.0301638426743731	2.68334235965792	5.94138365729767	2.35355764528056	2	128400498	128400647	150	-	2	2	3	14	5	9	c("ENST00000410011", "ENST00000409455", "ENST00000324938", "ENST00000409808", "ENST00000409754", "ENST00000409254", "ENST00000469300", "ENST00000545738", "ENST00000476932", "ENST00000409286", "ENST00000355119", "ENST00000582671", "ENST00000466410", "ENST00000410038", "ENST00000413578")	LIMS2
22	ENSG00000072818	E012	172.895957199476	0.000895442471343638	22.1704285375894	2.49487064414476e-06	0.00535966701007427	18.12147528524	20.3533480864722	0.502066625082223	17	7246254	7246697	444	+	113	161	228	111	205	248	ENST00000571220	ACAP1
23	ENSG00000074800	E022	10.6186920820695	0.00738661958881892	20.9415195928986	4.73519365041352e-06	0.00910170678467729	4.33563687066785	7.83167820834971	1.79651798150318	1	8938750	8939308	559	-	5	11	7	15	16	10	ENST00000489867	ENO1
24	ENSG00000076513	E017	26.1277150648885	0.00615814117833634	18.1464167195294	2.04553967659287e-05	0.0228454333666409	10.5295202402469	7.4909112912779	-1.09732919076878	12	110465704	110466316	613	+	33	34	42	13	18	22	ENST00000553251	ANKRD13A
25	ENSG00000078808	E012	69.972987743269	0.00358671188672286	18.3267011663887	1.86080735025224e-05	0.0219600733501624	12.5968791837966	14.6885816960091	0.559599160182393	1	1154386	1155673	1288	-	45	55	58	60	90	122	c("ENST00000494748", "ENST00000478938")	SDF4
26	ENSG00000078808	E015	59.670490648705	0.00338878633596185	19.3052519337216	1.11399511626588e-05	0.0156300800233947	11.6581301797383	13.9196293548143	0.630200627915941	1	1156111	1156731	621	-	44	42	45	45	88	104	ENST00000494748	SDF4
27	ENSG00000079246	E037	59.1764451741593	0.00610988935015773	14.0477284572403	0.000178228980754549	0.0852712820499121	13.80220171244	11.353916488986	-0.689907430049739	2	217059642	217059709	68	+	98	66	88	38	33	41	c("ENST00000392132", "ENST00000460284", "ENST00000392133")	XRCC5
28	ENSG00000079950	E011	5.2500667169045	0.0111464202084564	14.7761435645469	0.000121057358706732	0.0694730762162102	5.53534200742569	2.62243492164457	-2.20632644926188	6	132796732	132796801	70	-	11	8	8	1	4	1	c("ENST00000367937", "ENST00000448348", "ENST00000367941", "ENST00000475879")	STX7
29	ENSG00000080824	E001	79.661530067908	0.00161961075618168	15.6389584918258	7.66588568634296e-05	0.0531575802257663	13.3110456338839	15.5733914765195	0.585320081648647	14	102547075	102547385	311	-	107	77	89	89	61	59	ENST00000216281	HSP90AA1
30	ENSG00000081059	E002	215.231410947028	0.00627723154012064	14.4747917906479	0.00014204780424162	0.0770562524930416	21.85170566312	19.3848867275936	-0.540739660158388	5	133450403	133450846	444	+	175	199	203	125	270	366	c("ENST00000321603", "ENST00000395029", "ENST00000321584", "ENST00000378564", "ENST00000342854")	TCF7
31	ENSG00000081307	E002	8.01590081624609	0.00907788622017852	14.301450765228	0.000155744800226049	0.0804892066149358	3.6769338212271	6.52935330191089	1.71893477078057	3	132378310	132378761	452	+	4	4	5	11	15	9	ENST00000356232	UBA5
32	ENSG00000083807	E006	6.15307289592596	0.0102594055928944	13.8036942614141	0.000202936804079553	0.089935246144626	5.20823941944708	2.5975602544219	-2.05086143158379	19	59009753	59009841	89	-	13	11	11	0	3	1	c("ENST00000594786", "ENST00000599700", "ENST00000601355", "ENST00000263093")	SLC27A5
33	ENSG00000084073	E003	40.319025809021	0.00276544483885879	13.5562831719059	0.000231515101392369	0.0957230410083971	9.74358483038777	12.0210565183038	0.709010991642434	1	40723911	40724066	156	+	26	34	32	42	53	59	c("ENST00000479131", "ENST00000372759", "ENST00000472583")	ZMPSTE24
34	ENSG00000087157	E023	10.0050715232036	0.00744387368159426	13.6388851604874	0.000221548944660829	0.0940827343989526	6.99416548612527	4.27849698661562	-1.48324905665929	17	76399649	76399760	112	+	12	19	17	3	6	6	c("ENST00000588169", "ENST00000592043", "ENST00000588281", "ENST00000262764", "ENST00000591996", "ENST00000589425", "ENST00000329897", "ENST00000589426", "ENST00000589689")	PGS1
35	ENSG00000087157	E038	121.291798633176	0.0054645945854081	16.1735955745228	5.77941188692326e-05	0.0452288517967919	15.8803422890073	18.0668243126283	0.519501415080595	17	76416405	76417992	1588	+	106	111	113	102	122	192	ENST00000591996	PGS1
36	ENSG00000088448	E009	5.01903930048591	0.0240562706797153	17.2872090016209	3.21342679961931e-05	0.0311565900017603	5.76075674170905	2.26069598982939	-2.75899028251778	13	111545304	111545374	71	-	10	5	11	1	3	1	c("ENST00000465753", "ENST00000310847")	ANKRD10
