query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection	original.query.size
1	TRUE	0.041	28	1299	10	0.008	0.357	KEGG:03020	keg	77	RNA polymerase	1	ENSMUSG00000000776,ENSMUSG00000004667,ENSMUSG00000024258,ENSMUSG00000027395,ENSMUSG00000028099,ENSMUSG00000028104,ENSMUSG00000034453,ENSMUSG00000035834,ENSMUSG00000038628,ENSMUSG00000067148	2902
1	TRUE	0.0176	137	1299	35	0.027	0.255	KEGG:04210	keg	65	Apoptosis	1	ENSMUSG00000000441,ENSMUSG00000004936,ENSMUSG00000007891,ENSMUSG00000015312,ENSMUSG00000020715,ENSMUSG00000021453,ENSMUSG00000021939,ENSMUSG00000023249,ENSMUSG00000024122,ENSMUSG00000024521,ENSMUSG00000025199,ENSMUSG00000025408,ENSMUSG00000026202,ENSMUSG00000026496,ENSMUSG00000026875,ENSMUSG00000027381,ENSMUSG00000027859,ENSMUSG00000028063,ENSMUSG00000028698,ENSMUSG00000029580,ENSMUSG00000030102,ENSMUSG00000030265,ENSMUSG00000030560,ENSMUSG00000031668,ENSMUSG00000034573,ENSMUSG00000036390,ENSMUSG00000041417,ENSMUSG00000042406,ENSMUSG00000043091,ENSMUSG00000057367,ENSMUSG00000068329,ENSMUSG00000068758,ENSMUSG00000071369,ENSMUSG00000072235,ENSMUSG00000083282	2902
1	TRUE	0.03	70	1299	20	0.015	0.286	KEGG:00982	keg	100	Drug metabolism - cytochrome P450	1	ENSMUSG00000001663,ENSMUSG00000001665,ENSMUSG00000008540,ENSMUSG00000019102,ENSMUSG00000025037,ENSMUSG00000025069,ENSMUSG00000025934,ENSMUSG00000028138,ENSMUSG00000029260,ENSMUSG00000029919,ENSMUSG00000032348,ENSMUSG00000035811,ENSMUSG00000054630,ENSMUSG00000058135,ENSMUSG00000060803,ENSMUSG00000063558,ENSMUSG00000064294,ENSMUSG00000070704,ENSMUSG00000074604,ENSMUSG00000090124	2902
1	TRUE	0.00385	90	1299	28	0.022	0.311	KEGG:05210	keg	35	Colorectal cancer	1	ENSMUSG00000000441,ENSMUSG00000001847,ENSMUSG00000002109,ENSMUSG00000004451,ENSMUSG00000004936,ENSMUSG00000007613,ENSMUSG00000007815,ENSMUSG00000015312,ENSMUSG00000020122,ENSMUSG00000021453,ENSMUSG00000021668,ENSMUSG00000022812,ENSMUSG00000023067,ENSMUSG00000024151,ENSMUSG00000024515,ENSMUSG00000024521,ENSMUSG00000024563,ENSMUSG00000024985,ENSMUSG00000026821,ENSMUSG00000027381,ENSMUSG00000028698,ENSMUSG00000029378,ENSMUSG00000030265,ENSMUSG00000032402,ENSMUSG00000032440,ENSMUSG00000036390,ENSMUSG00000041417,ENSMUSG00000059923	2902
1	TRUE	0.00046	69	1299	26	0.02	0.377	KEGG:05211	keg	80	Renal cell carcinoma	1	ENSMUSG00000000441,ENSMUSG00000000489,ENSMUSG00000001847,ENSMUSG00000004936,ENSMUSG00000006699,ENSMUSG00000009376,ENSMUSG00000017776,ENSMUSG00000023067,ENSMUSG00000023951,ENSMUSG00000024140,ENSMUSG00000026526,ENSMUSG00000028645,ENSMUSG00000028698,ENSMUSG00000030265,ENSMUSG00000030602,ENSMUSG00000031284,ENSMUSG00000031987,ENSMUSG00000032633,ENSMUSG00000035105,ENSMUSG00000041417,ENSMUSG00000043733,ENSMUSG00000052681,ENSMUSG00000058709,ENSMUSG00000059923,ENSMUSG00000074923,ENSMUSG00000079658	2902
1	TRUE	0.012	30	1299	12	0.009	0.4	KEGG:00630	keg	74	Glyoxylate and dicarboxylate metabolism	1	ENSMUSG00000005683,ENSMUSG00000019179,ENSMUSG00000020534,ENSMUSG00000023832,ENSMUSG00000023921,ENSMUSG00000024827,ENSMUSG00000026473,ENSMUSG00000027187,ENSMUSG00000027605,ENSMUSG00000033429,ENSMUSG00000035637,ENSMUSG00000043445	2902
1	TRUE	0.00991	33	1299	13	0.01	0.394	KEGG:00052	keg	40	Galactose metabolism	1	ENSMUSG00000000628,ENSMUSG00000001642,ENSMUSG00000020277,ENSMUSG00000020766,ENSMUSG00000021196,ENSMUSG00000025579,ENSMUSG00000025791,ENSMUSG00000028671,ENSMUSG00000035473,ENSMUSG00000036073,ENSMUSG00000037012,ENSMUSG00000045594,ENSMUSG00000062646	2902
1	TRUE	0.041	117	1299	29	0.022	0.248	KEGG:04670	keg	107	Leukocyte transendothelial migration	1	ENSMUSG00000000001,ENSMUSG00000000157,ENSMUSG00000001847,ENSMUSG00000006699,ENSMUSG00000007815,ENSMUSG00000015143,ENSMUSG00000015340,ENSMUSG00000021823,ENSMUSG00000022607,ENSMUSG00000023906,ENSMUSG00000024048,ENSMUSG00000025809,ENSMUSG00000027962,ENSMUSG00000028698,ENSMUSG00000029580,ENSMUSG00000031207,ENSMUSG00000034101,ENSMUSG00000037815,ENSMUSG00000038235,ENSMUSG00000041417,ENSMUSG00000043733,ENSMUSG00000047230,ENSMUSG00000047501,ENSMUSG00000050965,ENSMUSG00000052397,ENSMUSG00000052681,ENSMUSG00000053062,ENSMUSG00000058230,ENSMUSG00000070473	2902
1	TRUE	0.0141	144	1299	37	0.028	0.257	KEGG:04910	keg	99	Insulin signaling pathway	1	ENSMUSG00000000441,ENSMUSG00000000628,ENSMUSG00000001175,ENSMUSG00000002496,ENSMUSG00000003123,ENSMUSG00000003865,ENSMUSG00000004936,ENSMUSG00000005469,ENSMUSG00000006127,ENSMUSG00000014956,ENSMUSG00000017776,ENSMUSG00000020190,ENSMUSG00000020538,ENSMUSG00000020612,ENSMUSG00000022812,ENSMUSG00000024122,ENSMUSG00000024143,ENSMUSG00000027540,ENSMUSG00000028156,ENSMUSG00000028698,ENSMUSG00000028945,ENSMUSG00000029167,ENSMUSG00000029513,ENSMUSG00000030265,ENSMUSG00000030815,ENSMUSG00000031295,ENSMUSG00000031490,ENSMUSG00000032737,ENSMUSG00000033059,ENSMUSG00000036438,ENSMUSG00000036879,ENSMUSG00000037012,ENSMUSG00000041237,ENSMUSG00000041417,ENSMUSG00000046794,ENSMUSG00000053113,ENSMUSG00000059923	2902
1	TRUE	0.0161	88	1299	25	0.019	0.284	KEGG:04146	keg	56	Peroxisome	1	ENSMUSG00000003623,ENSMUSG00000005907,ENSMUSG00000010651,ENSMUSG00000020777,ENSMUSG00000021417,ENSMUSG00000021884,ENSMUSG00000022040,ENSMUSG00000022404,ENSMUSG00000024953,ENSMUSG00000026664,ENSMUSG00000027187,ENSMUSG00000027222,ENSMUSG00000027952,ENSMUSG00000028691,ENSMUSG00000029098,ENSMUSG00000030541,ENSMUSG00000030545,ENSMUSG00000031378,ENSMUSG00000031767,ENSMUSG00000031985,ENSMUSG00000032883,ENSMUSG00000034875,ENSMUSG00000041939,ENSMUSG00000042410,ENSMUSG00000053898	2902
